"","STATIONID","mean_CPUE","var_CPUE","lat","long","mean_var"
"1","A-02",3281.26023939879,117684.396018654,634629.32457229,-822532.219516722,10884353.1546781
"2","A-03",3381.07186982844,89585.2118504395,627907.169335818,-784821.174189221,11521232.2007957
"3","A-04",4242.81275092429,180050.825212742,620300.129442009,-748135.310139532,18181510.8646185
"4","A-05",6327.96559256236,492201.55466389,613348.847143423,-710470.628748426,40535350.095317
"5","A-06",705.586647280132,39707.0167925707,611214.542340665,-673968.807207345,537559.533612589
"6","B-01",3013.24757815485,73525.6360438962,679431.171979818,-853308.076444695,9153186.60329994
"7","B-02",2527.56876054429,70733.5610902477,671021.897493553,-817559.288100341,6459337.40036964
"8","B-03",2738.23628929404,36150.30757562,664508.623417138,-778859.711925608,7534088.28358241
"9","B-04",3943.56704445039,133141.794552822,657336.035795652,-743524.82647624,15684862.828628
"10","B-05",6697.20635727731,485671.561701624,650143.521640297,-705289.749608756,45338244.5536572
"11","B-06",7926.60279795557,910543.525031374,645246.256247704,-667260.215929937,63741575.4415884
"12","B-07",3539.07187057252,417664.661592044,639569.468125298,-632646.090410906,12942694.3666697
"13","B-08",3283.52711393188,371280.217830178,634898.586800806,-595066.152857737,11152830.525756
"14","C-01",2325.33707598128,46505.921372962,715104.628699614,-848313.339140324,5453698.43830613
"15","C-02",2136.3522107848,47664.3895208979,707980.985496113,-811128.545077784,4611665.15804599
"16","C-03",1880.46398318088,29112.6774303726,701256.606671199,-774278.508133541,3565257.46947087
"17","C-04",2983.03526417126,100060.747666579,694214.535991725,-738072.479541584,8998560.1349559
"18","C-05",5397.7289117997,432702.162707224,686928.91942506,-699624.287388376,29568179.5679856
"19","C-06",5949.50802490923,1301990.62307295,680866.190841102,-663261.722660013,36698636.3615322
"20","C-07",2978.39989007852,196308.301757033,677524.074394793,-626358.680463041,9067174.2069768
"21","C-08",3423.04605635458,240127.680119699,670540.146821754,-589038.218443123,11957371.9840444
"22","C-09",768.691825307167,15439.2194837966,666069.890691149,-553101.795428803,606326.341777861
"23","C-18",2460.55836135268,75221.3689409388,723827.277794878,-885101.277731374,6129568.81856355
"24","D-01",2636.89612822934,49410.8512264156,752726.294839165,-842529.783273334,7002632.04229729
"25","D-02",2244.0653418738,43284.4260842938,745411.867678527,-805175.140268058,5079113.68468348
"26","D-03",2131.39014588308,34349.5777698963,737679.972320596,-768264.31648655,4577173.53173737
"27","D-04",5072.62123217637,491311.402056412,730773.085644362,-730721.587779307,26222797.5671829
"28","D-05",2528.37561576319,90350.8992547185,723813.593920417,-693404.923743766,6483034.15364062
"29","D-06",1441.2566703799,79866.1765549117,718042.134006987,-657028.047467437,2157086.96646946
"30","D-07",1372.54283021228,59739.9752141793,712533.191098679,-621324.01735783,1943613.79598133
"31","D-08",1718.14847354476,59731.6448533253,707227.241758678,-583439.046629876,3011765.82199752
"32","D-09",1633.07937301082,97405.7371810284,701891.506426072,-547735.406189498,2764353.97573445
"33","D-10",1357.17774332929,48942.2188934177,698021.032573203,-512453.980551665,1890873.64588179
"34","D-18",2066.44944345308,96738.3393541244,759972.390610207,-879561.224142956,4366951.64170168
"35","E-01",4971.42449960509,1343063.27490242,789254.759842949,-836975.246594542,26058124.8301761
"36","E-02",2849.52573401865,59742.3660340158,781222.916428737,-799945.014406124,8179539.27486854
"37","E-03",3093.64634536503,142981.774805038,774359.632852284,-762163.562378523,9713629.48499542
"38","E-04",1480.72502228432,47522.5470901868,767108.178895775,-725218.348926607,2240069.13870908
"39","E-05",463.405333925874,14458.7981834257,761384.226830661,-688063.452427905,229203.301694376
"40","E-06",761.490813474224,33047.0308757299,754916.1385632,-650812.374867168,612915.289881365
"41","E-07",662.144834849942,22610.4491739495,749687.234067963,-614969.981867796,461046.231492407
"42","E-08",915.279701346765,56965.4323760839,743263.031034451,-579079.149648246,894702.364073508
"43","E-09",672.846261368553,16030.7208558053,738780.331272121,-541598.221038324,468752.812293444
"44","E-10",626.752323281947,12243.4909303618,734558.926888254,-504724.789883877,405061.96566968
"45","E-11",487.674976415439,10336.6617880405,729304.967415891,-469112.121509933,248163.544409839
"46","E-12",224.753627277834,2627.04124710474,725612.706887628,-430591.249507598,53141.2342216482
"47","E-18",4971.09054440308,202322.93227852,796587.673964131,-872713.346959143,24914064.1329322
"48","E-19",3401.32528399379,222685.962517668,805306.181500424,-910464.092291173,11791699.6500531
"49","E-20",2841.0717470086,192841.896808043,817354.216579001,-945127.861753335,8264530.56845853
"50","E-21",1821.80091937538,31645.9798817404,822711.850605785,-982126.854066763,3350604.56971873
"51","E-22",2226.11277628755,82694.2111751292,831735.052359939,-1018786.48514851,5038272.30392579
"52","F-01",1705.06673495725,66766.9512824185,825915.430738482,-830568.663964685,2974019.52194021
"53","F-02",1786.0782174203,132672.55727232,818253.815113637,-794456.151767828,3322747.95601561
"54","F-03",461.668832447762,7739.27419269793,810926.279181069,-756541.660004368,220877.385046378
"55","F-04",366.50957728021,8542.27408475135,803693.273858731,-721203.453782398,142871.54432287
"56","F-05",347.347345668655,10473.0626509059,798118.696539579,-682920.487542271,131123.241193966
"57","F-06",243.516489275492,5191.11549336631,792170.90079232,-645665.447648307,64491.3960424269
"58","F-07",343.868857730654,14552.206472755,785655.768386491,-609632.291394431,132797.99778974
"59","F-08",313.983283317542,8704.89185356132,780142.539766407,-572436.202158999,107290.394056425
