STRATO	N	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12	M13	M14	M15	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	COST	CENS	DOM1	X1	SOLUZ
1	346	881.669660198323	1539.68102370211	1181.70956755807	130.719083301871	30.5421660581308	1026.94220069534	385.899163557126	232.460501818543	25.3740498288715	3307.44662908652	90.6884182618678	68.9919475518849	627.954509408681	92.0898642882816	183.294017605822	399.408186781607	1548.4004429331	684.610790926097	77.578776529063	53.819765332257	449.313969909573	328.597742516376	190.399355502557	36.1064517778516	5271.29620734497	126.330520332082	95.5123455814968	902.339042023128	105.944476148542	258.895525690022	1	0	1	1	2
10	3354	5257.12083029077	1413.99309117008	882.496546782328	325.163518734244	755.91709731305	1206.16536768838	350.296404511593	244.945457859687	174.974965001488	4095.87373173231	171.002342086829	6.45640765697857	255.747016462546	124.191677614684	320.705223707919	5796.29532522694	3560.41941889531	1242.149434	475.333667393775	917.791826392542	1093.29563639593	516.557415101606	575.250395698929	242.454987166833	15195.5244177388	385.139789471754	16.3683258413617	1207.17280958042	624.283376424901	729.721428619648	1	0	1	10	46.4437200150214
11	3095	6981.89508310718	2093.86492579734	1488.13442592808	249.650836540238	1322.45915908225	1985.19553312571	566.37963654228	239.020687709062	99.8261349126414	1444.54869708112	75.746624502342	14.9653898517789	235.711163757172	77.8180623063747	101.413998529533	7794.06188262847	4984.47858274243	1840.30631901602	451.630153572634	2275.19993741366	1769.73655162024	540.508554468434	383.909003151371	173.767502479435	5709.05789932973	210.07095345301	46.6793995588312	2130.25965655311	241.649391802071	388.892024860953	1	0	1	11	58.2508715870837
12	923	9745.92977252187	1014.41645005333	2097.42750878133	324.578667837679	281.828007668062	1998.95474170733	492.719291291537	74.8033180742889	238.110811638397	5850.22190472716	137.435899343531	52.4972157933209	457.923050779503	573.824038458143	219.651552158191	17429.7128007358	1832.73861431285	4690.56206007076	337.195124708233	376.532384091991	2585.88418380702	713.926152916035	123.67920818084	325.070544368712	14248.4415440687	376.060097636389	126.277737981173	3639.40635564702	2547.22048957306	657.38781436094	1	0	1	12	21.4407742660369
13	2347	6608.00932878929	703.757444746391	566.470811349138	382.814804143221	320.510909943119	883.432134377376	62.3572860354479	2.62567696797257	356.71434633936	4998.02546079578	250.615218312264	35.0702082071768	215.992004659304	404.334254141567	422.391187909342	9063.74877711532	1775.21936135583	911.490851998827	329.48561465675	398.73931913189	1236.65850028924	132.900554826927	8.68189752832311	349.732645956281	10929.0720218108	339.688339304835	145.693312629501	826.473122437797	1100.31028717048	550.416799215196	1	0	1	13	26.0630808203935
14	5356	3280.37614924731	409.190489573305	237.586135780985	205.279719610114	199.912547488194	582.849228209343	92.3819458555764	2.160187679929	373.763612399069	1908.53576312503	207.059491332407	94.8485724698979	16.4217440851447	80.3807366530223	408.475075837554	2798.10896118194	570.871799419452	315.964024234047	221.386032994698	299.882302521331	541.686288972402	224.552770010456	12.7934717656732	480.520353390559	5552.47465623228	399.501829795799	212.663713314488	108.718018446876	478.771448524447	647.846786015306	1	0	1	14	35.7843488673728
15	1334	2788.19752956408	1030.34083932403	539.792687247183	348.408156255676	164.104380278426	773.021520702745	125.339786714084	3.47766293334713	298.818992670976	3552.02025217185	162.131714530822	1070.83668176098	5.72382357086256	41.8873267865854	534.694517257259	2945.61326885064	1223.43431700495	516.332893239406	244.784074194384	459.720144287062	799.202874404254	223.146749826952	16.8385855365707	372.960602521546	6572.24634338295	214.649359242053	2230.21024580095	19.9250801045628	161.396054934508	726.665967338662	1	0	1	15	25.6767255733204
2	200	642.291604850904	2040.18120320963	1244.0774192558	114.401709563929	52.1098767194169	1080.38056930097	777.446989943878	410.749701537667	8.84171809225468	4003.51096250191	49.4199798638788	44.9679305675434	1046.46110424649	87.3777928635607	129.93353041106	300.527935708367	2625.05432261328	962.437177626189	133.054590289713	48.4009460482697	533.23602574406	485.155910168951	295.978716952003	19.4883839373081	10174.0284489352	91.9545039904299	77.5748189772107	4757.37436238349	222.285446852525	310.101940596552	1	0	1	2	3.98121883017539
3	421	1817.21692948454	1856.84340181965	733.557823018058	254.037495976697	227.086861650665	835.174671844823	590.029040738712	238.345877333821	30.7242731145418	1787.97000073585	102.024669490305	6.5723317866579	119.886730396163	30.164354275536	365.057711481749	879.097976854842	2668.29738761679	840.288322537977	242.988378030096	275.150509160705	616.02775878332	566.254881371042	251.69347071229	45.4564750601889	3595.56538998661	145.991727691485	6.61444950310833	236.597263947961	51.1091760948648	523.560525858307	1	0	1	3	3.06591983107323
4	455	1630.30193330255	1450.83173263936	1202.19434283418	206.953616608618	120.5477340504	1337.99767825803	857.758268664004	400.918257599629	30.0328453053673	1350.37292839577	99.6348674848419	29.0624446205925	145.617245645531	25.6067701162544	251.870289525918	948.227853922436	1677.21229287932	1278.86956699213	280.443792612712	128.280737055422	890.135596106057	694.901205123965	556.597329862048	59.8388880505457	3627.08180693384	178.663371341174	97.8255551785151	423.346706611898	74.4174096655667	487.114827123624	1	0	1	4	3.80103808426403
