STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	277	1347.03595473761	2253.29008539684	1	0	1	1	4.54839418483209
10	9262	458.330633061817	872.452556811162	1	0	1	10	58.8854254429506
2	111	3727.9169375793	5897.5266310614	1	0	1	2	4.77039246357566
3	909	1772.98429774825	3235.30070397603	1	0	1	3	21.4308677478266
4	267	5279.00213399436	14580.2992490299	1	0	1	4	28.3686663665214
5	2380	1523.28168984082	3392.66158984811	1	0	1	5	58.8408204564787
6	1548	592.508373681193	1409.31623105447	1	0	1	6	15.8979318452691
7	1713	1016.63817306602	2190.63461667856	1	0	1	7	27.3456675657673
8	433	2437.42078618769	13733.2940752886	1	0	1	8	43.3335068854705
9	6439	1383.54465699212	3688.04141270802	1	0	1	9	173.051526631121
