STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	1599	48.333109248255	64.2015221933408	1	0	1	1	7.55042451150618
10	1776	419.830223475492	329.706910912942	1	0	1	10	43.0673939348317
2	2312	149.221973246538	244.444076285559	1	0	1	2	41.5666407549384
3	1377	385.039773304362	577.225608366981	1	0	1	3	58.4597712139937
4	1502	745.506453422699	836.206848147307	1	0	1	4	92.3764425847452
5	1326	372.094621301773	423.03159635647	1	0	1	5	41.2566452932501
6	6165	216.698222569847	357.472205193633	1	0	1	6	162.08877548258
7	1562	388.433503490284	358.85992680263	1	0	1	7	41.2271748084394
8	2409	199.539592783561	253.030601194271	1	0	1	8	44.8319292620579
9	3311	138.949889060173	129.89218203206	1	0	1	9	31.6314990611752
