STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	1216	67.7864940648196	125.92675689132	1	0	1	1	5.04338105253127
10	2013	16.1953819442751	45.5452558036567	1	0	1	10	3.01965348670795
2	615	951.681392604362	709.039271813133	1	0	1	2	14.3620222398627
3	695	2273.89929562529	2469.39189868494	1	0	1	3	56.5255780741227
4	478	3475.04137962381	3557.2948997363	1	0	1	4	56.0038592113325
5	2483	1104.0997808945	1208.10361716662	1	0	1	5	98.7986688119692
6	3446	665.026049193899	756.960479196773	1	0	1	6	85.9129571031829
7	2469	1511.74101792174	2475.65880235264	1	0	1	7	201.317750213972
8	5423	384.435609136662	458.010718039912	1	0	1	8	81.8060521054262
9	3994	105.321256140827	222.766121827188	1	0	1	9	29.3040329240982
