STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	97	1446.37975733287	823.095170426872	1	0	1	1	2
10	828	1137.25383265334	1317.02916102991	1	0	1	10	24.0273759462917
2	2156	2076.56122829434	1009.42674905401	1	0	1	2	47.9517190875413
3	2835	1440.54875713644	873.112693491727	1	0	1	3	54.5385994684136
4	2179	2639.10061529718	2231.03878340428	1	0	1	4	107.113686375413
5	3352	1095.40961819489	851.825500785852	1	0	1	5	62.9122565848075
6	2413	684.728049326078	544.616710902167	1	0	1	6	28.9553554613106
7	4465	489.248715801803	364.783015414419	1	0	1	7	35.8869614465984
8	1851	118.349711434489	148.699679201698	1	0	1	8	6.06452884730141
9	3163	750.977369204075	759.090922222205	1	0	1	9	52.90218447677
