STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	360	957.817771034231	884.958389040292	1	0	1	1	9.1890127813067
10	1935	65.5182289599504	157.638231959222	1	0	1	10	8.79804195995508
2	1205	1606.68197161216	1193.66850521131	1	0	1	2	41.4872154212357
3	3369	666.422491772201	483.617407618956	1	0	1	3	46.9944358032201
4	3997	736.065738913736	850.749675432691	1	0	1	4	98.0797713297182
5	4136	177.187818764677	384.09569749254	1	0	1	5	45.820885390976
6	1267	94.0876855003855	194.256059382191	1	0	1	6	7.0989594214536
7	3262	42.4724325397537	92.8468564961958	1	0	1	7	8.73563873731914
8	3156	12.1112706407808	37.5756780360902	1	0	1	8	3.42048212188597
9	652	235.847761391796	350.125748421334	1	0	1	9	6.58438398907449
