STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	2865	5.06550513237332	12.1098480481477	1	0	1	1	2
10	215	656.038030875061	657.800791598529	1	0	1	10	5.53126827533807
2	2913	37.2431294637843	65.5760016633234	1	0	1	2	7.47097510054677
3	879	252.947895532346	266.771581043607	1	0	1	3	9.17107635024785
4	5771	87.6469837864829	119.285969793116	1	0	1	4	26.9235492645697
5	3341	266.667035634542	261.63564260812	1	0	1	5	34.1873355406305
6	4003	441.899930840124	484.496575111688	1	0	1	6	75.8521984750022
7	1363	129.371649432355	187.284768291747	1	0	1	7	9.98366925742426
8	1284	504.410608573478	661.930030316674	1	0	1	8	33.2406095848432
9	705	146.489366945152	170.758710868598	1	0	1	9	4.708297057805
