STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	1954	5.29309319861872	13.7304782752227	1	0	1	1	2.14527957201393
10	1240	99.3585715826825	163.64644298683	1	0	1	10	16.2256434251598
2	3783	14.5098193041003	30.8773541200056	1	0	1	2	9.3400691687988
3	8733	48.4589451755486	100.161912366403	1	0	1	3	69.9422727688479
4	1798	134.701171333461	183.606660368204	1	0	1	4	26.3968309576641
5	1720	190.256810432629	285.74505928424	1	0	1	5	39.2989411741322
6	1660	244.486996368312	337.431269615259	1	0	1	6	44.7885586590489
7	2106	408.92707252703	489.893805719917	1	0	1	7	82.4962082500709
8	186	1241.12522974577	2342.15813705037	1	0	1	8	34.8339585787651
9	159	577.385000826383	632.957476130419	1	0	1	9	8.04720992502848
