STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	2228	133.352681373673	565.595226021196	1	0	1	1	3.58589327673544
10	1829	2888.30964275071	7480.93537802449	1	0	1	10	38.9355260801016
2	3887	1020.04636689949	4294.01806396332	1	0	1	2	47.4957605123161
3	2060	5624.65382962363	29049.4068099521	1	0	1	3	170.286777599591
4	3935	911.827471822086	4116.84390438922	1	0	1	4	46.0983706528418
5	1403	8039.45417708033	17488.7996449199	1	0	1	5	69.8222937474012
6	1021	3714.64854064305	7647.55154055703	1	0	1	6	22.2190043018312
7	3210	1289.2716084291	4136.42786075562	1	0	1	7	37.7839123766571
8	458	14138.4208692811	74711.6095862701	1	0	1	8	97.3710849929448
9	2587	863.827167422821	2546.39810077486	1	0	1	9	18.7455923650486
