STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	816	30.0248906091752	116.069509554786	1	0	1	1	2
10	7942	3.96737947876919	14.0289704158961	1	0	1	10	2
2	2125	393.064781578576	1313.85377686373	1	0	1	2	29.068105653842
3	657	1257.89415138677	4399.77964977313	1	0	1	3	30.0958807947024
4	683	481.439170762724	1242.68418026991	1	0	1	4	8.83674321654366
5	1233	550.494299711154	1777.80317045391	1	0	1	5	22.8222004120821
6	194	3165.1088447911	13851.519532062	1	0	1	6	27.977564813665
7	1466	147.401966114425	705.450578619031	1	0	1	7	10.7674118785831
8	3181	178.445741125203	1703.46906076589	1	0	1	8	56.4168301386893
9	4535	79.3365292784549	267.914080741121	1	0	1	9	12.6497980622212
