STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	939	4.39587625662737	16.2522210728	1	0	1	1	2
10	3952	13.0027922211033	33.6457370883959	1	0	1	10	7.12020363460369
2	509	31.4514591605978	78.3217631791813	1	0	1	2	2.13474335137011
3	4161	101.102583830802	299.348603405596	1	0	1	3	66.6991629400086
4	348	1100.58074053895	4256.69712784908	1	0	1	4	79.3226885862514
5	380	73.1064357289969	321.801393543793	1	0	1	5	6.5481248095056
6	1286	216.740826950368	1304.12408618764	1	0	1	6	89.805992362251
7	3439	37.9231556526551	93.9171551485997	1	0	1	7	17.2950784469528
8	1946	390.83817595865	1410.99276566499	1	0	1	8	147.032402812654
9	5872	63.7739098889982	184.341348432482	1	0	1	9	57.963451539553
