STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	33	5.06943331551621	4.34218980433766	1	0	1	1	2
10	1262	259.879654679799	369.3138763195	1	0	1	10	59.5325273482622
2	2683	0.45793914688231	1.29673572922043	1	0	1	2	2
3	3618	5.84298118469049	41.3309970592961	1	0	1	3	19.1004581357246
4	4860	28.3708375844735	98.7875587885299	1	0	1	4	61.3250430976443
5	3485	87.321817654934	195.271185949338	1	0	1	5	86.9241166125922
6	2729	216.851818832266	360.852511499773	1	0	1	6	125.786087073466
7	1233	427.972411076899	570.172812370956	1	0	1	7	89.798466653457
8	1111	863.17239474833	743.765786045113	1	0	1	8	105.547899502739
9	2325	1518.24910625235	1011.83034998103	1	0	1	9	300.489982661213
