STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	362	732.010663326003	395.756486744625	1	0	1	1	2
10	3044	3165.14261547365	3773.84653892918	1	0	1	10	55.232052751859
2	1728	2154.38179471343	1482.56213014529	1	0	1	2	12.317397052514
3	3328	5166.7416701691	4707.46062646907	1	0	1	3	75.3238160965114
4	1309	4269.45691242313	3450.33273376367	1	0	1	4	21.7151545907535
5	2766	5830.11740876244	7113.53714963048	1	0	1	5	94.6019481973959
6	4440	7174.70692029982	9336.02939243842	1	0	1	6	199.300083634895
7	1189	4172.45278644542	3620.40057275233	1	0	1	7	20.6966845345369
8	1896	3043.82149811557	1912.26882952527	1	0	1	8	17.4320948181547
9	2770	1589.55237103034	1109.59732098379	1	0	1	9	14.7777212097331
