STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	211	3644.07017789533	2562.26426466372	1	0	1	1	40.4913186715387
10	678	175.289454219622	559.458111211412	1	0	1	10	28.4087950921544
2	1041	1645.68084594042	1931.91347737691	1	0	1	2	150.623920490451
3	1675	1024.09277293986	955.661994313489	1	0	1	3	119.88771198978
4	2475	576.844043246847	450.754665457827	1	0	1	4	83.5547183151264
5	2937	284.190307368867	283.126052909904	1	0	1	5	62.2786696064777
6	3250	65.5205540123959	130.726583321848	1	0	1	6	31.8201935680085
7	8968	3.82275282246129	21.5785237025777	1	0	1	7	14.4934866322233
8	513	573.648598439423	1400.54918178917	1	0	1	8	53.8110262737461
9	1084	65.9577103039443	226.901297073422	1	0	1	9	18.4213649426027
