STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	5137	863.555947501783	665.2424705355	1	0	1	1	2.45135160332295
2	23694	2587.88279089713	2295.29225417506	1	0	1	2	39.0114820375284
3	14223	6206.59210891662	6177.41687762604	1	0	1	3	63.0251944861058
4	2035	6590.1331667044	14610.3206130846	1	0	1	4	21.3275139183036
5	5621	3713.96499232532	4882.69568711279	1	0	1	5	19.6874431602779
1	7898	1101.7280697917	1771.00229551504	1	0	2	1	7.84755221202304
2	14289	4308.60537070977	4963.37198196606	1	0	2	2	39.7902457471858
3	20823	8199.73930158382	8258.23087325303	1	0	2	3	96.4779972750243
4	7931	4822.12576368097	3926.45803108274	1	0	2	4	17.4713663350975
5	4708	186.329002091288	409.917888887575	1	0	2	5	2
1	10736	1342.56154538551	1802.17412235751	1	0	3	1	5.19392498931469
2	11946	4651.67382224955	6070.4821120275	1	0	3	2	19.4671383448343
3	32252	10711.3774992142	12390.0909048683	1	0	3	3	107.27229325271
4	16390	4700.98332177283	4498.53201419355	1	0	3	4	19.7927523261387
5	7414	1005.81125234353	1746.30214254145	1	0	3	5	3.47558880485675
1	2002	397.184333342971	407.006237273822	1	0	4	1	2.71230148824325
2	2068	2341.60654570355	1201.47906346581	1	0	4	2	8.27064854409173
3	18238	3488.91090882057	2042.71708088887	1	0	4	3	124.010442214019
4	4532	1722.7445269565	1010.4981326004	1	0	4	4	15.2439754558511
5	1881	266.323396725292	386.202959151547	1	0	4	5	2.41811648084653
1	2541	1076.90488974399	1129.87467380888	1	0	5	1	4.5750733467035
2	9097	3012.30611096898	2407.481369593	1	0	5	2	34.8999055499286
3	8063	4693.54629276121	5222.73090930741	1	0	5	3	67.1053942117507
4	10428	3345.15709157002	3680.2116107473	1	0	5	4	61.1556991564249
5	7205	1044.24963923512	1258.53787874189	1	0	5	5	14.4498519784879
