STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	1342	2111.42962469168	3900.94935594248	1	0	1	1	43.08377376243
10	1201	931.596872569782	1359.00096156453	1	0	1	10	13.4324019824694
2	308	3914.23978809311	9151.41356280796	1	0	1	2	23.1968923627033
3	1668	1354.09065796704	2340.55743789879	1	0	1	3	32.1296695081376
4	626	1958.84347556171	4822.4215890773	1	0	1	4	24.8445089202599
5	2515	700.319397037171	2011.63042218653	1	0	1	5	41.6367759027723
6	4114	1322.77689651089	3524.96724273226	1	0	1	6	119.346663325699
7	847	3526.29011337184	9268.80643082847	1	0	1	7	64.6097605561311
8	1403	1219.18850731257	3937.14148910533	1	0	1	8	45.4600178679402
9	8808	404.418890387429	739.05477056156	1	0	1	9	53.5728609235964
