STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	11308	16.7186551306187	33.6967960647201	1	0	1	1	2
2	16148	139.91995588771	180.424565057743	1	0	1	2	11.1786937076199
3	5401	305.577962866429	349.559111108785	1	0	1	3	7.24388342450716
4	10989	551.337463845429	578.141125910102	1	0	1	4	24.376350525465
5	6864	140.920201546052	178.390542608274	1	0	1	5	4.69813779492119
1	6611	84.7278097723442	167.191877701221	1	0	2	1	2.66277106787719
2	4444	251.714502424884	312.441551524429	1	0	2	2	3.34498622084394
3	9086	450.175419249785	584.998686758945	1	0	2	3	12.8049863749767
4	9867	1008.15498773655	950.0070074698	1	0	2	4	22.5820536067805
5	25641	234.993698561721	433.241169854789	1	0	2	5	26.7618526777562
1	13849	26.0084527056605	58.3813882893691	1	0	3	1	2.69761377307806
2	5346	121.539759949756	183.086250375793	1	0	3	2	3.26566492483731
3	9361	200.76082656548	257.519052547595	1	0	3	3	8.04300887604055
4	39006	386.751362528006	381.326010520628	1	0	3	4	49.6266298413556
5	11176	139.019764402547	155.048092954518	1	0	3	5	5.78148973524375
1	8206	187.249385987623	242.009727420636	1	0	4	1	15.0511743321432
2	2200	879.009790076275	705.196048677604	1	0	4	2	11.7581393250369
3	7799	212.123208287098	172.620715402485	1	0	4	3	10.2032348590191
4	5280	312.062277185213	352.331646204904	1	0	4	4	14.0991076480302
5	5236	105.601699602436	112.424651269019	1	0	4	5	4.46135967905068
1	13211	93.4959675966089	85.5084777902377	1	0	5	1	6.24529669144239
2	5522	203.368477252281	173.984389147618	1	0	5	2	5.31147194812809
3	1892	796.33995461459	815.129148599222	1	0	5	3	8.52620485013066
4	7568	511.468444494108	345.474832415508	1	0	5	4	14.4545889288817
5	9141	243.712905636633	231.100791083578	1	0	5	5	11.6789378736471
