STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	12287	64.9235939648738	105.660978222039	1	0	1	1	2
10	68563	88.3636303947554	200.908640833513	1	0	1	10	18.2400444150651
2	3311	640.409043076249	702.460159989928	1	0	1	2	3.07977041600251
3	3916	990.601211945368	621.721797137414	1	0	1	3	3.22386049655824
4	6655	1853.48909241898	1810.21879551054	1	0	1	4	15.9520533534414
5	6523	3589.38436692663	3669.93312865898	1	0	1	5	31.6988125173586
6	30624	1081.26945542465	1191.72415687751	1	0	1	6	48.3253627551277
7	33165	594.186171616546	663.932250484306	1	0	1	7	29.1568921541234
8	32868	1377.27198559281	2303.80214267487	1	0	1	8	100.266514938539
9	53240	387.861924836463	461.991096991356	1	0	1	9	32.5693519315832
