STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	13783	50.0607669551134	70.6451227652487	1	0	1	1	2
2	8063	873.921785011484	754.0083368054	1	0	1	2	8.69462037913845
3	5764	1918.53512366111	1843.82889061402	1	0	1	3	15.1992586281354
4	5709	3808.902408381	3842.50003202833	1	0	1	4	31.3726886900225
5	17391	1099.47780126701	1105.76329436158	1	0	1	5	27.5020167238391
1	1298	3023.367211485	1655.84909841651	1	0	2	1	7.88090278350922
2	14267	850.879081886615	1110.02983788952	1	0	2	2	58.0694664835462
3	31867	582.056708715555	651.496889959291	1	0	2	3	76.126182021717
4	3421	1086.56626074422	1007.27073836411	1	0	2	4	12.6351328819808
5	4796	8.23321860867125	17.1865557411971	1	0	2	5	2
1	3014	1149.19329817155	2027.8751262482	1	0	3	1	7.60770531926614
2	2717	3060.21200214565	4107.8707388575	1	0	3	2	13.8923473556911
3	20548	1418.74277093979	2196.98175868462	1	0	3	3	56.1908024154148
4	37862	410.634882176326	524.184436391316	1	0	3	4	24.7034095882326
5	14597	112.922829833321	229.093306595803	1	0	3	5	4.16241362522058
1	4708	338.205059200177	296.086746428774	1	0	4	1	20.1146316630785
2	4697	783.64797151867	436.125357475131	1	0	4	2	29.5589199199681
3	4741	300.889255521423	235.301466226018	1	0	4	3	16.097233767918
4	10725	110.4826938218	169.259519486075	1	0	4	4	26.1943162647795
5	3850	14.9023531665222	41.5799389112748	1	0	4	5	2.30994286896794
1	4334	213.301459777339	222.952522051256	1	0	5	1	17.8952541941016
2	9746	70.5616137107783	123.107763773078	1	0	5	2	22.2202235967191
3	1738	459.458848544448	710.496473280559	1	0	5	3	22.8690578939656
4	16709	48.9472582784534	125.181881560412	1	0	5	4	38.7372252779599
5	4807	3.05236331702964	8.96216164270349	1	0	5	5	2
