STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	1903	2284.25149963316	1325.07976635889	1	0	1	1	16.9713781045782
2	10923	1755.91114521097	840.17589012886	1	0	1	2	61.7658534799409
3	21065	1288.81431987328	691.982119334192	1	0	1	3	98.1053371104284
4	12463	774.21701349409	455.563161526647	1	0	1	4	38.2126794907552
5	4356	105.672946260503	152.62139480708	1	0	1	5	4.47444926223532
1	16863	1900.74331595086	1027.535408476	1	0	2	1	75.21412043372
2	7557	1242.52046230982	612.47984971897	1	0	2	2	20.0913431911238
3	11440	707.940206751086	421.314739330741	1	0	2	3	20.9218662784133
4	14520	391.979597521831	208.366211912222	1	0	2	4	13.1329308467252
5	5269	35.8645947671996	90.5603978379868	1	0	2	5	2.07125831565268
1	12265	1902.44351840419	1412.56504985126	1	0	3	1	29.8615656893409
2	16159	3247.60893372991	2853.79973744432	1	0	3	2	79.4830529818138
3	16533	1286.22461933105	1097.26185913264	1	0	3	3	31.2678856275824
4	20570	584.384834572781	571.011678868961	1	0	3	4	20.2449098978126
5	13211	176.513143492298	209.515976744181	1	0	3	5	4.77078015518683
1	55	3193.64131502789	1327.28818337114	1	0	4	1	2
2	1782	1183.91833997111	697.132892780141	1	0	4	2	28.1878558493327
3	1496	749.257230979444	392.253557867689	1	0	4	3	13.3148798755658
4	21153	421.562950561742	354.424906833774	1	0	4	4	170.112007969149
5	4235	107.152360186389	164.637520482949	1	0	4	5	15.8205289261321
1	3751	1162.13784450506	644.3480719772	1	0	5	1	18.6140646298102
2	9031	1500.77558496665	1184.91693617854	1	0	5	2	82.41331227172
3	5225	841.486421159096	612.061010482188	1	0	5	3	24.6294452358337
4	11616	412.768789491351	305.531658680509	1	0	5	4	27.3329458595892
5	7711	75.9939685879644	116.576509844518	1	0	5	5	6.92301658545471
