STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	3388	2126.09521015231	1172.46714527227	1	0	1	1	16.0968026928477
10	21538	46.3985224579032	92.3854214604695	1	0	1	10	8.06314285453848
2	5709	1579.4146426998	597.827169843661	1	0	1	2	13.8302881645889
3	18194	1940.95951907025	1027.61225735393	1	0	1	3	75.7622743461519
4	44572	1289.63041218701	752.729550922786	1	0	1	4	135.955451079569
5	7480	2026.0066614149	1633.23483268633	1	0	1	5	49.5046242901329
6	20867	2877.69611956142	2685.69610055655	1	0	1	6	227.097535852113
7	58366	890.184689349479	812.580947360265	1	0	1	7	192.186157269175
8	40744	535.776676361521	454.666154802689	1	0	1	8	75.0674782958313
9	30294	300.358088400877	234.91134578341	1	0	1	9	28.8374032999613
