STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	3175	5.11239395839307	12.6576787356534	1	0	1	1	3.35046495024184
10	2661	342.829089270777	397.443781569303	1	0	1	10	88.1714253906237
2	1540	36.0413472151564	60.3939719658304	1	0	1	2	7.75392497679183
3	5051	63.817458156895	111.554688729944	1	0	1	3	46.9756153768907
4	1345	124.744011277696	159.657442755915	1	0	1	4	17.9027082380504
5	2611	181.99246012957	205.257796957802	1	0	1	5	44.6800670212248
6	1129	305.191076067808	261.419576904837	1	0	1	6	24.6059042759834
7	3641	444.435063531333	542.637557203482	1	0	1	7	164.716766693013
8	1451	130.689690838892	193.31846415962	1	0	1	8	23.385573744099
9	228	1035.56025515341	919.716473423415	1	0	1	9	17.4822003550693
