STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	36344	3.42874360489324	8.96719635535445	1	0	1	1	2
2	9097	62.6339931510244	70.61449358396	1	0	1	2	2.92039022743945
3	2552	356.783083011078	312.568314943209	1	0	1	3	3.6263896321335
4	2717	819.884751563524	657.150865606617	1	0	1	4	8.11714988878053
1	28864	5.17825232005582	15.1626603818906	1	0	2	1	3.94162904319285
2	21813	126.881976233079	122.946043773159	1	0	2	2	24.1531502788096
3	2299	650.121799081582	459.335012146451	1	0	2	3	9.51069703225605
4	2673	130.630052492594	145.499615981038	1	0	2	4	3.50271362467954
1	33803	4.6177993057164	15.8376624534694	1	0	3	1	2
2	14146	50.3432048634264	75.2666692277079	1	0	3	2	3.79172071546316
3	10285	128.002247759278	162.509506612743	1	0	3	3	5.95227595820829
4	10725	291.458129294401	268.528344038932	1	0	3	4	10.2562222746433
5	9779	634.597725545042	697.615432432093	1	0	3	5	24.2946426476342
1	8118	6.88045786774752	17.1403773615333	1	0	4	1	2.49702822667175
2	7128	63.118276559586	79.6928639942084	1	0	4	2	10.1939183657707
3	5951	123.033081727057	172.373041393025	1	0	4	3	18.4082846118983
4	7524	365.977323723736	341.613549042108	1	0	4	4	46.1251615010841
1	19668	15.3685459267796	37.2732067094857	1	0	5	1	2.85442997799368
2	9911	105.577031404893	181.521334400873	1	0	5	2	7.00499110199593
3	2332	256.847565782976	435.246702678817	1	0	5	3	3.95208677877316
4	3245	735.73972223774	990.174107538026	1	0	5	4	12.5109043301026
5	2178	815.32111016426	2015.52548149526	1	0	5	5	17.0926187141428
