STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	2964	169.802013405368	737.261937562809	1	0	1	1	4.95986775072077
10	4040	1907.72432281237	6366.2912467644	1	0	1	10	58.3764864414447
2	1952	924.246311245034	3084.39070092141	1	0	1	2	13.6653035289419
3	1912	2777.90911969903	8954.35223636369	1	0	1	3	38.859047061491
4	751	8525.37564505272	37763.3061524008	1	0	1	4	64.3694844210059
5	1407	1475.53503288304	13007.5887245936	1	0	1	5	41.5394726141941
6	3810	1097.74398061382	4555.75932244771	1	0	1	6	39.3963359588796
7	1883	7370.36988738289	17397.6422460435	1	0	1	7	74.3551065255269
8	3778	1178.19213195015	4083.90916509261	1	0	1	8	35.0193524796156
9	335	14060.1077816852	74386.2903271669	1	0	1	9	56.5597904741782
