STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	1518	6192.57364462426	12940.0202305057	1	0	1	1	11.6414342720647
2	8866	1137.3229059577	2794.06317907965	1	0	1	2	14.681272937965
3	15499	250.504602748281	793.484650668849	1	0	1	3	7.28856400538566
4	4422	1645.35971634334	7845.43549510163	1	0	1	4	20.5605892876909
5	20405	656.525692324337	2879.66542334273	1	0	1	5	34.8239791775035
1	17083	587.288298984005	2365.41652260404	1	0	2	1	4.52660234645721
2	11704	3462.60382599343	12110.1721771623	1	0	2	2	15.8776128503791
3	3036	15367.6337583649	56285.4080248599	1	0	2	3	19.1424782897357
4	14311	2451.64135558388	16443.7595936486	1	0	2	4	26.3615946492299
5	9515	348.739375935474	1698.73084191248	1	0	2	5	2
1	22616	184.455005831063	936.544374430888	1	0	3	1	2.84238388815471
2	19525	2780.84140355399	7649.07738523319	1	0	3	2	20.041890035641
3	7425	12229.9221137992	26070.0430150728	1	0	3	3	25.9762696241597
4	19690	3585.99560215187	6867.68028596236	1	0	3	4	18.1465622528908
5	9482	817.44183470105	2338.10491572549	1	0	3	5	2.97510654717153
1	17457	351.369979199086	1447.25865766361	1	0	4	1	2.06176845220197
2	4884	4021.70544542524	11974.9246419134	1	0	4	2	4.77279263945036
3	1276	29460.9550018072	120524.038510598	1	0	4	3	12.5501371485146
4	1166	8480.22929870853	34649.2206570242	1	0	4	4	3.29697871258376
5	3938	1610.27717164807	6328.03412025604	1	0	4	5	2.03361457523445
1	7964	267.197448877365	670.820150740671	1	0	5	1	2.94149487840706
2	11814	1974.91463721311	3400.42324940808	1	0	5	2	22.1187555375232
3	2651	8443.50801307965	14825.8023738392	1	0	5	3	21.6400709221581
4	10681	2374.69810976256	5118.86675521818	1	0	5	4	30.1034648785796
5	4224	283.733077790617	1057.59862660291	1	0	5	5	2.45966257403648
