STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	4202	0.291568506073634	0.153937146873761	1	0	1	1	12.9588347801513
2	26246	0.1627661860381	0.0868541390113978	1	0	1	2	45.6688542198295
3	4686	0.259426798046768	0.146483310280326	1	0	1	3	13.7517162245213
4	10835	0.416362868951612	0.299687326232983	1	0	1	4	65.0524660193934
5	4741	0.669857115178542	0.636575848394369	1	0	1	5	60.4625674198114
1	5126	1.63682735423597	2.1107171217498	1	0	2	1	3.22962699211189
2	1474	7.86040506024591	15.3450122149838	1	0	2	2	6.7516271851022
3	2409	20.4270773486387	50.829791181856	1	0	2	3	36.5509657788637
4	2827	6.98000264915235	16.0072012430703	1	0	2	4	13.5078100423152
5	43813	1.78602963199041	2.00464399305503	1	0	2	5	26.2170595004167
1	34210	1.11808006869607	1.67482543728691	1	0	3	1	12.0552788857362
2	6039	3.62290797390699	6.120339762739	1	0	3	2	7.77669740984918
3	34529	9.49501099590449	12.5297276949274	1	0	3	3	91.0291050050747
4	1958	34.2684551721647	75.4058751552527	1	0	3	4	31.065082506314
5	2002	10.3408187949823	21.3617124667454	1	0	3	5	8.99818209020276
1	11099	4.53003827854372	4.74144760732884	1	0	4	1	3.33194989731089
2	6985	13.0811926423085	11.0874683074303	1	0	4	2	4.90345796646108
3	1551	47.7247932546429	94.0205766538717	1	0	4	3	9.23290491922995
4	4312	140.726245032306	302.351579744597	1	0	4	4	82.5457369440517
5	4774	109.599621836243	149.388541340268	1	0	4	5	45.1547410747972
1	13607	86.5238627185683	144.289090202756	1	0	5	1	10.1112041160933
2	12914	333.095616370461	503.703916060083	1	0	5	2	33.4998688797689
3	6424	1196.040453757	1720.4805735684	1	0	5	3	56.9196607984829
4	2288	1840.44850405007	4374.65575890652	1	0	5	4	51.5474162934196
5	2101	537.407130683202	1205.12465217632	1	0	5	5	13.039622562684
