STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	1694	500.638427351742	497.711187796428	1	0	1	1	2
2	6369	86.985072164264	244.86818116294	1	0	1	2	3.38801548463915
3	22484	331.969661406461	1299.08500108248	1	0	1	3	63.4531121360496
4	3707	2071.28721172367	5936.99616324732	1	0	1	4	47.8113643112316
5	16456	179.67728060799	698.221785190487	1	0	1	5	24.9608549223529
1	12045	722.816812649428	1866.8990628172	1	0	2	1	20.5418353314959
2	1925	3439.9235023728	14423.6226060629	1	0	2	2	25.3639381715719
3	7271	390.604737009708	1813.22391569644	1	0	2	3	12.0436238960322
4	30745	61.3176909817129	286.664304754226	1	0	2	4	8.05118335249283
5	3663	416.22392144007	3262.68184753977	1	0	2	5	10.9175011618519
1	5104	27.297229031265	167.577442535203	1	0	3	1	2
2	5236	395.617857346662	1636.47409941546	1	0	3	2	20.0114271279093
3	2057	643.152215844963	4599.1029862542	1	0	3	3	22.0941202896543
4	47960	87.4983550077212	354.98458933488	1	0	3	4	39.7610607441351
5	18381	12.0883315657597	73.7374178983249	1	0	3	5	3.16538360369474
1	1837	0.717737993786482	2.01292384347991	1	0	4	1	2.29855842819034
2	2706	6.72932926682826	6.55422839771383	1	0	4	2	11.0247413888945
3	17545	10.4447281853505	18.1803895924264	1	0	4	3	198.278491170261
4	2541	4.05961188264145	5.04343234694527	1	0	4	4	7.96617626836891
5	4092	0.358839251913947	1.69275614582739	1	0	4	5	4.30575259060791
1	748	1.89946625596367	2.31563464041845	1	0	5	1	2.64120281259757
2	3245	7.74984230925096	5.16516677867771	1	0	5	2	25.558135348334
3	6292	3.1565259998661	2.64067049547104	1	0	5	3	25.3357078514401
4	16654	1.06682159158218	1.06241900121694	1	0	5	4	26.9801590296055
5	10395	0.0851413108725168	0.282372966733436	1	0	5	5	4.47587269806313
