STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	11066	5.00697403795158	18.6194513845965	1	0	1	1	2
10	57739	18.5676938566986	51.1495756498558	1	0	1	10	21.2391376672854
2	7051	44.7288250765273	108.467335370054	1	0	1	2	5.50015936203764
3	38423	95.2780445679709	254.042826111413	1	0	1	3	70.19784713762
4	9878	520.585118697677	2723.67922099862	1	0	1	4	193.48645441829
5	9152	52.4522457625364	180.37841657025	1	0	1	5	11.8720623453956
6	11176	270.086475147915	1467.0667678107	1	0	1	6	117.913046300328
7	44869	45.6548770331635	139.803739597492	1	0	1	7	45.111863334966
8	21824	372.182680568991	1396.99983088639	1	0	1	8	219.258426695863
9	39974	75.1363241725641	194.86138673601	1	0	1	9	56.0181786136854
