STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	2002	1.76332008000683	1.2816978422586	1	0	1	1	2
10	16577	8.79846551498748	41.2401671279858	1	0	1	10	37.7241080223634
2	2167	21.0512719656272	100.463371447847	1	0	1	2	12.0132159919863
3	21516	5.30324063074173	20.9794450995742	1	0	1	3	24.9085334607473
4	12485	10.6310573378304	99.8934633923662	1	0	1	4	68.8205664861965
5	21241	4.14486128314647	19.1401560229083	1	0	1	5	22.4343276441569
6	20911	4.56524583632384	45.1126337915062	1	0	1	6	52.0553787581749
7	63382	1.5676717237614	6.77545606486294	1	0	1	7	23.6972035100845
8	89100	9.33623626411065	43.3451311409849	1	0	1	8	213.11334755716
9	1771	100.88793966804	1049.98715597112	1	0	1	9	102.611296137766
