STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	23496	3.07150974098417	24.0356573721155	1	0	1	1	2.44109792364001
2	19041	36.902539454195	146.97360951077	1	0	1	2	12.0966294244049
3	5104	425.115063179784	602.969455711185	1	0	1	3	13.3027442552198
4	3069	1986.79408984583	1387.22391886818	1	0	1	4	18.4025802430016
1	19547	1.34609577253937	6.33939589394053	1	0	2	1	2
2	8921	25.0118573454186	90.8130939387912	1	0	2	2	3.9045837399127
3	21098	129.703809299421	324.742775162296	1	0	2	3	33.0212504938979
4	990	345.537733182624	590.959870745108	1	0	2	4	2.81971955112185
5	5093	1655.45581809565	1043.86608454178	1	0	2	5	25.6230718052677
1	17127	9.78109512340857	68.3156031674899	1	0	3	1	5.1056515256927
2	43956	53.4468375241308	172.60031629794	1	0	3	2	33.1062291544426
3	6809	268.175974960986	347.30555929435	1	0	3	3	10.3191763433619
4	4598	914.527119607174	642.119106144213	1	0	3	4	12.8835196524278
5	6248	1454.90749148881	545.664183566222	1	0	3	5	14.8770366918925
1	3828	109.973515380544	354.770571263238	1	0	4	1	16.1893977952165
2	7238	40.0443458799479	93.3910690009601	1	0	4	2	8.05814547203947
3	11308	307.018884130199	391.833834353364	1	0	4	3	52.8200626353056
4	3641	893.348409921828	589.277041091221	1	0	4	4	25.577104492415
5	2706	1675.47705738077	985.959592999987	1	0	4	5	31.8051967955076
1	10252	43.7580855892425	120.199072519147	1	0	5	1	11.7855925086099
2	14564	127.752623784876	280.448466662644	1	0	5	2	39.0638862957042
3	6754	466.291742436912	530.395310421976	1	0	5	3	34.261189648269
4	4301	1114.10810008685	826.92139256337	1	0	5	4	34.015383909027
5	1463	1533.40910238384	1550.47944090653	1	0	5	5	21.6946198806523
