STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	9152	966.233226658436	2055.1191532713	1	0	5	1	23.6218210512785
2	22633	572.126837277995	1053.01847748606	1	0	5	2	29.9321885457176
3	6201	812.843715935402	1423.41573917181	1	0	5	3	11.0854633869405
4	4498	347.560349460419	483.159260880176	1	0	5	4	2.72941840803164
1	2678	444.64341040736	402.038482795788	1	0	4	1	4.7092992438598
2	7163	267.153336704918	341.850163610266	1	0	4	2	10.7104774939543
3	18837	318.61690247082	405.720797663829	1	0	4	3	33.4285160660674
4	3601	394.711708393522	555.356225816405	1	0	4	4	8.74727652506868
1	44031	1296.62470027071	4218.30883482454	1	0	3	1	84.3431112099504
2	12077	1361.32377634112	5414.61731466281	1	0	3	2	29.6947401696867
3	10582	1126.17326518582	3502.38306120123	1	0	3	3	16.829999247224
4	22412	801.085497950381	1939.91331816577	1	0	3	4	19.7431131245203
1	13338	1501.61469263685	3418.25407220782	1	0	2	1	23.2457915784542
2	22594	643.644509809372	2846.70619539725	1	0	2	2	32.7932951341582
3	17121	1312.04024902397	4587.91592315393	1	0	2	3	40.0492017701199
4	8190	694.650904911653	1147.6129950292	1	0	2	4	4.79213060444749
1	32877	2173.37168064464	4716.79272541834	1	0	1	1	60.6202766695448
2	9386	2498.6616047267	5662.45715837248	1	0	1	2	20.7761187789927
3	4758	1435.36922085029	3203.54199513966	1	0	1	3	5.9584568645138
4	9594	1948.58254029925	4042.80737352805	1	0	1	4	15.1621819404846
