STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	5590	435.095095947494	688.298192969038	1	0	5	1	2
2	3562	1912.06253763138	1945.79557538558	1	0	5	2	3.41405788683998
3	17511	3714.00959183478	3758.18737177562	1	0	5	3	32.4167245532801
4	10699	2668.77982943828	3019.95847429264	1	0	5	4	15.9156328715518
5	5122	966.14450175017	1145.81589621858	1	0	5	5	2.89090733500594
1	5798	706.490370500541	870.453313547917	1	0	4	1	3.33439020767541
2	4043	2373.64872727942	1530.99553845275	1	0	4	2	4.08950171288965
3	8060	3661.20452954979	2582.13121944948	1	0	4	3	13.7501070200471
4	10777	2820.31560490075	2341.56875724071	1	0	4	4	16.6723771368717
5	3601	887.102592100156	868.1247805064	1	0	4	5	2.0653706569814
1	20930	976.127677523314	2141.07416764388	1	0	3	1	7.67207065668523
2	11973	4018.53528416764	6412.91976692394	1	0	3	2	13.1452982082458
3	33787	9047.17687998989	11528.8674814581	1	0	3	3	66.6880368393973
4	15613	6119.66910912962	7339.1709278018	1	0	3	4	19.6175611936773
5	6799	1375.27514078467	2296.24798984005	1	0	3	5	2.67285552208804
1	8398	158.688953791005	290.964227915715	1	0	2	1	2
2	15756	2523.68144381898	3430.1041181868	1	0	2	2	11.6470614808091
3	6357	6173.22589693387	6179.28659717976	1	0	2	3	8.46552005167247
4	25818	7997.72514095342	8124.38161110258	1	0	2	4	45.2039102389049
5	4914	2131.03319346106	2794.56131076765	1	0	2	5	2.95945599861381
1	6331	173.199423156027	325.977624170601	1	0	1	1	2
2	10868	1433.62022912803	1833.91624339993	1	0	1	2	5.22480255233038
3	15678	3164.34440560757	3590.33466449336	1	0	1	3	14.7559219123191
4	18395	5856.67776050766	7747.52100431774	1	0	1	4	37.3596940058419
5	5343	836.048361779778	1105.32098415565	1	0	1	5	2
