STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	5590	61.147944053118	159.549873425522	1	0	5	1	4.36128338819174
2	29003	92.6185828392592	366.749432234593	1	0	5	2	52.0137790078328
3	2769	99.7573049514606	578.170913989016	1	0	5	3	7.82862032411602
4	5122	2.24771203432946	23.462051815922	1	0	5	4	2
1	5798	173.550226702263	236.8948094824	1	0	4	1	4.55025003105401
2	12103	518.214292488887	587.769168114177	1	0	4	2	23.5668392502425
3	8931	153.002698325956	318.418452185614	1	0	4	3	9.42106112215024
4	5447	47.9591167874411	116.700187390742	1	0	4	4	2.10586455023296
1	20930	187.35773720061	596.404856344768	1	0	3	1	10.3934499401479
2	35178	935.785409802737	2638.99931291873	1	0	3	2	77.2964860193126
3	26195	812.158478079582	1710.14808696907	1	0	3	3	37.2993660817358
4	6799	87.3948927225776	353.834540249505	1	0	3	4	2.00306293827739
1	8398	113.735872203023	250.41547323501	1	0	2	1	3.29600473467753
2	15756	528.998332348526	923.529476758036	1	0	2	2	22.8059164940655
3	19981	934.44253927443	1410.18837980214	1	0	2	3	44.1616353669743
4	17108	377.882413232456	482.436086678349	1	0	2	4	12.9356966820355
1	6331	164.043008445036	411.408005929722	1	0	1	1	2
2	10868	747.245508936005	1388.51405449519	1	0	1	2	11.1796748172451
3	33254	1206.40619820398	2672.39575636738	1	0	1	3	65.8375903797624
4	6162	47.9027975999376	333.574880803112	1	0	1	4	2
