STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	9152	1696.1368771765	2261.60360191158	1	0	5	1	18.6187074190696
2	6435	1527.38792474369	1604.5539360216	1	0	5	2	9.28795067099355
3	6006	891.498867981197	666.367677848628	1	0	5	3	3.60011422254104
4	10192	496.894512129576	342.514194110488	1	0	5	4	3.14018342922661
5	10699	173.343478632437	183.162319195381	1	0	5	5	2
1	2678	514.141243418842	412.934115599038	1	0	4	1	4.30979436796967
2	3120	725.277631247503	571.807046638974	1	0	4	2	6.95295324501202
3	21034	489.188960046275	413.001331491573	1	0	4	3	33.8562250817406
4	1846	299.996641814549	271.812706085876	1	0	4	4	2
5	3601	128.821578287674	130.180248641448	1	0	4	5	2
1	9906	1794.75121828291	1707.09138040289	1	0	3	1	9.8769550908183
2	22997	3190.93170273438	3290.27343480871	1	0	3	2	44.1947989180657
3	11128	1506.31592019026	1520.41182443501	1	0	3	3	9.88203394733518
4	22659	895.116694972938	775.92263215158	1	0	3	4	10.2689761446768
5	22412	318.454851701168	298.257285290892	1	0	3	5	3.90426835230406
1	2353	1248.75283107787	769.79272746048	1	0	2	1	2.01361625297605
2	21801	2000.47463866918	1167.85123226659	1	0	2	2	28.3038109777285
3	6357	1194.97692522582	634.340896233257	1	0	2	3	4.48286747147214
4	18187	602.069990999738	354.890955628459	1	0	2	4	7.17524897473454
5	12545	293.90664672907	184.615656961523	1	0	2	5	2.57466170057318
1	17199	1881.49116232173	1071.23021988374	1	0	1	1	26.1166050544661
2	15678	1500.73315438153	868.7390281291	1	0	1	2	19.3068179710028
3	9386	1057.34090981651	635.494792861064	1	0	1	3	8.45518774579642
4	8190	678.636482453698	432.212325141915	1	0	1	4	5.01778164150067
5	6162	127.576894078977	169.555725860362	1	0	1	5	2
