STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	32296	19.5095354012483	72.9445468397408	1	0	1	1	9.22794646600524
2	12144	128.929476398979	347.789604203526	1	0	1	2	16.5440507733152
3	3476	547.231239281484	790.465579227026	1	0	1	3	10.7628238016699
4	2794	1237.87325175468	1151.86322271876	1	0	1	4	12.6063921662784
1	12661	22.7802009940785	89.4909057853627	1	0	2	1	2
2	16302	96.9272535843081	342.89199647579	1	0	2	2	9.83452634727085
3	21428	592.461410404144	865.412228176706	1	0	2	3	32.6257028397312
4	5258	2886.28224321996	2131.8908318854	1	0	2	4	19.7215368226529
1	5907	56.6922870471918	208.258742467462	1	0	3	1	2.33647505238949
2	20031	126.006718183269	466.745661240832	1	0	3	2	17.7571742412914
3	30547	345.712566479946	666.56831972156	1	0	3	3	38.6726710951145
4	13167	689.829901944375	1101.13924799659	1	0	3	4	27.5372148977707
5	9086	2793.16512826279	2100.62889460637	1	0	3	5	36.2504167021201
1	3124	163.986922564625	429.904047151805	1	0	4	1	3.99120438472176
2	6853	76.7223329711007	89.3542558964563	1	0	4	2	2
3	12199	345.024359518788	610.228117377144	1	0	4	3	22.122686000899
4	6545	1320.78572707913	1336.83614562859	1	0	4	4	26.0021488257708
1	14157	188.802408588564	320.096143990232	1	0	5	1	18.2451919459547
2	2112	1914.27489168822	1465.43511032331	1	0	5	2	12.4611254595236
3	21065	352.03223849635	394.247022865302	1	0	5	3	33.4369494043876
