STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	5357	920.672809820048	767.191729879305	1	0	1	1	2
2	23474	2591.00866949081	2301.43419243292	1	0	1	2	18.2945864113597
3	14773	6175.70562461279	6412.64148646381	1	0	1	3	32.0806081501954
4	1507	6943.44670562479	15665.908252062	1	0	1	4	7.9947661588388
5	5599	3726.73770377634	4888.00703459949	1	0	1	5	9.26785486595062
1	7161	968.314013000866	1608.06543387136	1	0	2	1	3.36510296774796
2	13486	4080.90072728799	4780.94474942995	1	0	2	2	18.8416029387733
3	24860	7808.30400829079	7864.28827976613	1	0	2	3	57.1322748060705
4	5049	4439.28824372274	3584.5190960118	1	0	2	4	5.28880112184384
5	5093	320.885616296059	795.124907114021	1	0	2	5	2
1	10164	1258.40789416065	1699.50876349838	1	0	3	1	3.29507253739841
2	13222	4691.89472751684	6225.11141750346	1	0	3	2	15.7007788511372
3	30954	10854.2613727132	12503.1198677521	1	0	3	3	73.8264673917791
4	18161	4610.00965102113	4625.26680442379	1	0	3	4	16.0233553049034
5	6237	869.056097258985	1527.1209548773	1	0	3	5	2
1	2794	780.472399559802	822.873048870443	1	0	4	1	2.18523462341203
2	19800	3419.22778398815	2004.73267334038	1	0	4	2	37.7277140454638
3	6127	1255.98906887692	1087.69578262446	1	0	4	3	6.3342347980972
1	3212	1534.24212910005	1317.70534477755	1	0	5	1	2.30456993940855
2	9031	3040.71595794703	2532.39529033866	1	0	5	2	12.4526960563799
3	11715	4483.1819662264	4817.12401409019	1	0	5	3	30.7274250939662
4	8932	2525.62286613077	3216.98693433239	1	0	5	4	15.6456661884264
5	4444	657.631158174549	824.970371653532	1	0	5	5	2
