STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	990	47.9644673201525	334.159064180645	1	0	1	1	4.81212488745326
2	20240	8.16301855228868	91.0770570042907	1	0	1	2	26.8143915140417
3	1826	110.932998325123	439.459802860558	1	0	1	3	11.6726208515733
4	22341	12.3462990571547	39.0271306730755	1	0	1	4	12.6828740731302
5	5313	427.476670086443	564.916729534051	1	0	1	5	43.6588911621681
1	21373	5.93886461835048	25.723542548958	1	0	2	1	10.9158867759743
2	10439	24.2557672875462	50.0361621114095	1	0	2	2	10.3706421163464
3	9779	73.9347900316326	104.282249559232	1	0	2	3	20.2473222995727
4	9020	145.385156437783	194.225706626587	1	0	2	4	34.7837184030747
5	5038	368.925390081484	416.364659310178	1	0	2	5	41.6480605175791
1	37202	18.6772736840801	85.3161914670728	1	0	3	1	35.171881964179
2	11957	62.1494881928072	144.264684258215	1	0	3	2	19.1152559357002
3	19140	183.545505485832	354.970462818764	1	0	3	3	75.2890831795742
4	10439	591.090896185789	746.915582579589	1	0	3	4	86.4028913947901
1	9372	95.8992308807307	247.063975154555	1	0	4	1	6.42428244708036
2	1177	1707.4685057957	5268.50334053969	1	0	4	2	17.204681793419
3	18172	123.444176546366	222.534044497149	1	0	4	3	11.2197223911958
1	14146	36.1467168729504	74.1386640405261	1	0	5	1	7.44708786651707
2	7326	222.604260353741	524.16630602529	1	0	5	2	27.2674222394224
3	1595	1228.02970227342	2248.362637152	1	0	5	3	25.4644977887321
4	14267	144.860398077128	389.169346165522	1	0	5	4	39.4256946813507
