STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	2244	41.1854828681371	26.7829133035754	1	0	1	1	3.064954216089
2	1958	252.225360915533	174.739644283574	1	0	1	2	17.4480725394889
3	19536	134.284247118729	95.1782468181544	1	0	1	3	94.8236505305988
4	4906	108.322966404239	34.9428542940459	1	0	1	4	8.7423712381125
5	22066	156.792730774553	91.6846654633711	1	0	1	5	103.172425816299
1	924	754.911535042184	293.04727520658	1	0	2	1	2.65539408189957
2	1507	430.784377526507	193.387250682341	1	0	2	2	2.85798809717475
3	5599	950.223719358068	463.414685341488	1	0	2	3	25.4448317715652
4	4092	537.452689351675	292.905116394536	1	0	2	4	11.7538977162009
5	43527	172.535717695716	135.764232575576	1	0	2	5	57.9513328093244
1	6512	662.212899291024	292.09442455012	1	0	3	1	37.9271961536044
2	10351	416.585525495424	239.757794369035	1	0	3	2	49.4843787006313
3	56749	270.150679099141	187.163620471278	1	0	3	3	211.783796413006
4	5126	40.7422744778537	40.8435489797735	1	0	3	4	4.17460272460133
1	396	957.644601845096	298.74527228147	1	0	4	1	2
2	2508	701.385680045981	309.814967686101	1	0	4	2	12.7317970149603
3	2002	464.443019354302	220.683672797407	1	0	4	3	7.23925800049085
4	8921	312.232040965275	163.084804103766	1	0	4	4	23.8389330550709
5	14894	190.642779440723	97.880003229075	1	0	4	5	23.8871921413428
1	990	416.128542725991	282.667520345454	1	0	5	1	9.54539412328108
2	11176	182.212949091551	83.9276400964236	1	0	5	2	31.9944144194893
3	7073	183.014235032182	59.8321758447399	1	0	5	3	14.4351471632626
4	11352	74.8975456171323	46.5313228467593	1	0	5	4	18.017749427169
5	6743	109.927208819539	63.8570376583665	1	0	5	5	14.687392077202
