STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	19239	1.23466243585837	2.06647485407532	1	0	1	1	2.72145230844995
2	22066	11.5624598460777	21.2827275864136	1	0	1	2	32.1468932815656
3	7062	47.2828138094696	83.9904567889079	1	0	1	3	40.6018446219743
4	1078	201.995586118328	186.849518586524	1	0	1	4	13.7879230999239
1	10296	20.3175764869088	38.8793787542974	1	0	2	1	8.91337969965507
2	17600	52.0510690880911	112.570352531019	1	0	2	2	44.1155045493545
3	7194	148.657408487151	202.012823747535	1	0	2	3	32.3596584759363
4	19624	309.402785437912	302.843470055962	1	0	2	4	132.33060731691
1	25300	28.8057727837653	86.2463203492412	1	0	3	1	29.6010877841703
2	20834	158.067048798076	215.940545640528	1	0	3	2	61.0314135407155
3	20317	252.181901154633	283.611453512976	1	0	3	3	78.1681656671875
4	3674	795.645861672938	944.280594148726	1	0	3	4	47.0637784597388
5	7095	520.499088401028	448.837395014426	1	0	3	5	43.2004238081829
1	8239	339.084465864049	577.463093685167	1	0	4	1	19.506769070619
2	2552	1634.82301564615	2374.91475950356	1	0	4	2	24.8493654519337
3	10406	519.876937235834	555.801405566802	1	0	4	3	23.7131947942784
4	2882	1119.84988907685	2630.09098061371	1	0	4	4	31.0778778228863
5	4158	296.84660933179	527.366297597545	1	0	4	5	8.9904920938562
1	9999	64.6572407492394	120.882890780741	1	0	5	1	8.94292470386228
2	4202	289.783656963675	346.255130781589	1	0	5	2	10.7649107667875
3	1650	1802.0585771697	1784.70998489562	1	0	5	3	21.7876187042781
4	21142	356.021356199166	598.987424034237	1	0	5	4	93.6961921740107
