STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	12078	1635.84864096212	2974.93000902596	1	0	1	1	26.53873268518
2	6226	4059.30711259591	7959.57259265886	1	0	1	2	36.6022064626899
3	17127	1355.78966590251	2326.53655852966	1	0	1	3	29.4306315144289
4	3454	2818.4922278895	6222.36012195275	1	0	1	4	15.8739817937662
5	11825	965.897207542127	2070.38815149556	1	0	1	5	18.0826187218977
1	4026	1134.77309484079	3285.90202599842	1	0	2	1	13.4645583943463
2	15444	474.154972184594	1076.45822119764	1	0	2	2	16.9207927172745
3	27885	1400.79275981196	3978.47308689954	1	0	2	3	112.914783667535
4	8294	508.167214547515	762.818000556799	1	0	2	4	6.43944884033677
1	10879	1548.46749559137	3618.80460627092	1	0	3	1	24.4555377827141
2	4675	977.341782040781	1252.15471167991	1	0	3	2	3.63632518229688
3	9295	3762.1770102109	9515.88530404066	1	0	3	3	54.9441803727917
4	16456	985.380905442268	3257.98085745552	1	0	3	4	33.3039628342585
5	37433	416.130147787024	964.270637501414	1	0	3	5	22.4221205428878
1	1551	234.853256922711	342.985135107706	1	0	4	1	3.88266594605861
2	2519	398.628005923705	540.159353521799	1	0	4	2	9.93100038963763
3	2783	492.565447231451	919.069424711059	1	0	4	3	18.6682864133548
4	11286	306.575592777796	211.239236846365	1	0	4	4	17.4003332666318
5	10582	276.980694489712	289.097592662433	1	0	4	5	22.3282745216382
1	18304	339.629384136065	349.476134410756	1	0	5	1	18.5340647273879
2	2112	1163.47615751112	1079.95570683469	1	0	5	2	6.60856251434099
3	6985	656.507949933376	684.267171467292	1	0	5	3	13.8483891852149
4	4158	1275.52185059406	1994.10949916244	1	0	5	4	24.0237407348397
5	5775	816.255503497748	853.053475863255	1	0	5	5	14.2736614080023
