STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	12342	31.6498623105035	63.6926439498583	1	0	1	1	3.55416596573527
2	18249	204.044290307102	245.647161683878	1	0	1	2	20.2681311617493
3	9108	575.538799905162	631.673445215408	1	0	1	3	26.0122863654928
4	11011	160.621014163667	219.722851088192	1	0	1	4	10.9386788696925
1	12133	153.108352314904	251.284471855652	1	0	2	1	8.72814274544021
2	10769	465.470842230792	609.25577886417	1	0	2	2	18.7829163673821
3	10879	952.961844869915	918.449404838394	1	0	2	3	28.6043579719323
4	16104	163.175202206344	254.848058157659	1	0	2	4	11.7490589072119
5	5764	325.576481958958	663.486973047902	1	0	2	5	10.9482413588214
1	12507	21.4793789717827	46.7490853133072	1	0	3	1	3.31408021685881
2	15070	160.963763050959	229.069124019193	1	0	3	2	19.5666535693261
3	37851	389.123311547953	385.221580926191	1	0	3	3	82.6465474088215
4	9031	200.989698693522	185.651864104579	1	0	3	4	9.50324454492381
5	4279	67.8575165087636	102.993667136059	1	0	3	5	2.49798344954865
1	8162	186.091351860528	241.575819670567	1	0	4	1	9.90137891804613
2	1925	937.2233414301	724.819984173414	1	0	4	2	7.00658703980864
3	13662	255.765418890286	267.516711155041	1	0	4	3	18.3531589675329
4	4972	102.183934966197	105.382471001699	1	0	4	4	2.63114708435059
1	13409	94.0913254461274	85.5360733739035	1	0	5	1	5.48180294649401
2	4510	222.872415617966	184.424656984837	1	0	5	2	3.97533054643433
3	8613	591.636599912861	503.906841168945	1	0	5	3	20.7435184175115
4	10802	240.773264154688	226.960482354847	1	0	5	4	11.7174238102114
