STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	14531	63.4233093883115	136.219700252287	1	0	1	1	3.182804252068
2	6534	902.840672909973	688.434863648943	1	0	1	2	7.23296714503731
3	6292	1676.79539376285	2158.20456996489	1	0	1	3	21.8351323306112
4	5555	3235.574866923	3773.72055911158	1	0	1	4	33.7076369487915
5	17798	1152.39402793804	1764.01322029338	1	0	1	5	50.4832777236186
1	924	3079.98506430506	3047.42374337671	1	0	2	1	8.9360408964207
2	12848	988.636109699267	1741.64869263696	1	0	2	2	71.0127637936533
3	36784	633.737105794386	870.560117394271	1	0	2	3	101.624413124074
4	5093	13.2485782824705	72.1572517084265	1	0	2	4	2
1	17325	1922.80797771384	4059.34983279651	1	0	3	1	99.7509249958301
2	9020	1641.59990645733	2286.90138142597	1	0	3	2	29.2577673695999
3	36388	398.58394129703	555.939276192315	1	0	3	3	28.6927881291639
4	16005	128.084551998241	289.200271132653	1	0	3	4	6.56510357816485
1	4521	380.12822237511	418.649509601603	1	0	4	1	15.3426800628498
2	3905	797.944217706764	552.595718739182	1	0	4	2	17.4922102648578
3	5940	318.121994437871	284.538349888497	1	0	4	3	13.7007199315188
4	9878	102.058570726822	176.397870653756	1	0	4	4	14.1246760229059
5	4477	28.6968978599293	76.1580915681414	1	0	4	5	2.76388062867273
1	1694	152.441252323007	231.600635011236	1	0	5	1	4.46560295098346
2	1606	403.102347736319	483.179441271159	1	0	5	2	8.83244501613967
3	10043	86.7620108749196	171.846487776979	1	0	5	3	19.6440521048042
4	3443	304.59550840309	696.546034887229	1	0	5	4	27.2969297048821
5	20548	35.2065045201201	104.005079127487	1	0	5	5	24.3248998079653
