STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	1210	1335.49548231344	667.434413062792	1	0	1	1	2.86517685836626
2	4103	634.85346742705	283.971124446848	1	0	1	2	4.13364491360976
3	38038	1430.7474655526	825.35703911914	1	0	1	3	111.3825106179
4	7359	291.000717355244	342.059183671149	1	0	1	4	8.93053603284761
1	12441	1529.89663714507	793.05493648046	1	0	2	1	23.1290069386325
2	10087	2012.42711423118	1112.00793878808	1	0	2	2	26.2947067725398
3	10307	821.568231578325	487.128673413815	1	0	2	3	11.7699439148162
4	17831	418.693592028258	240.362782251008	1	0	2	4	10.0471143685749
5	4983	31.082957119598	121.273839157896	1	0	2	5	2
1	12507	1939.10011359174	1449.02920437791	1	0	3	1	22.4914153493809
2	15961	3238.90160161615	2863.78906182613	1	0	3	2	56.7267132143971
3	26642	1066.17914480087	987.616656445461	1	0	3	3	32.6544014173061
4	23628	299.469568763163	347.665697657249	1	0	3	4	10.1947200125627
1	616	1358.58111430607	870.941348579944	1	0	4	1	3.29539546630741
2	451	1594.61486907665	854.901513016287	1	0	4	2	2.36826635841312
3	2244	817.858128180683	471.336149063718	1	0	4	3	6.49668066252521
4	21219	421.061967460543	354.467608624191	1	0	4	4	46.199724565147
5	4191	107.742331370403	165.335900096857	1	0	4	5	4.25620701425114
1	12034	1424.16943849722	1070.90318018152	1	0	5	1	35.3365426825879
2	5071	902.390336650318	692.882664947065	1	0	5	2	9.63423303899738
3	10340	464.429510102904	330.274255678444	1	0	5	3	9.3639503399913
4	9889	118.665599064468	156.914295640949	1	0	5	4	4.25479587147618
