STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	5379	1369.90012103438	904.510977679687	1	0	1	1	4.76952582227196
2	6127	1070.75709390485	515.734618077775	1	0	1	2	3.09766167263346
3	4961	541.741476917946	421.237382949029	1	0	1	3	2.0485942575821
4	7854	1751.10328690052	1186.73994854195	1	0	1	4	9.13705579652226
5	26389	459.30885039533	504.870551360389	1	0	1	5	13.0605898306307
1	4631	778.915059524034	523.886191108077	1	0	2	1	2.33965250068121
2	2013	2099.99601287167	2130.76236382336	1	0	2	2	4.1363608406911
3	19701	507.732684624389	472.178836847118	1	0	2	3	8.97086693788877
4	29304	76.38436418599	214.917392376117	1	0	2	4	6.07348683130729
1	18524	505.553113301331	758.890296031007	1	0	3	1	16.0089755894331
2	13431	1039.90206842383	911.731642456594	1	0	3	2	13.9452128464197
3	16115	310.275997993767	585.74049079778	1	0	3	3	10.7494273084654
4	30668	39.7135183551296	72.9419124832227	1	0	3	4	2.54748931531317
1	4719	132.356884124753	110.090848246545	1	0	4	1	3.69536495393943
2	24002	4.86714778463996	11.3975300686213	1	0	4	2	2
1	14179	20.6339140148198	35.0169701777402	1	0	5	1	2
2	4378	343.00943178956	348.516463052014	1	0	5	2	5.5127810412428
3	11638	28.826705662637	49.0500160771237	1	0	5	3	2.06247738454542
4	7139	93.4938679288033	192.830107388622	1	0	5	4	4.97374955474946
