STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	14729	418.158191343691	397.813451874082	1	0	1	1	5.87467811043837
2	3718	795.362770697601	945.678262148091	1	0	1	2	3.52520307613572
3	2981	2125.29249311418	1612.76436168515	1	0	1	3	4.82019094753716
4	21516	613.127306384682	877.519461437469	1	0	1	4	18.9299576034474
5	7766	189.53536978973	335.377270763546	1	0	1	5	2.61133362598016
1	4026	466.752850913783	425.506796740148	1	0	2	1	2.45891980796395
2	4444	497.654297061617	470.550933510486	1	0	2	2	3.00154447552625
3	41228	43.0042970799578	127.837613389616	1	0	2	3	7.56510595205978
4	5951	454.563181060109	1167.99262263566	1	0	2	4	9.97686609235805
1	792	701.020313817304	1144.47434180364	1	0	3	1	2
2	16082	337.38944891873	548.929093895094	1	0	3	2	17.94096350207
3	12991	168.637875243747	374.204523101621	1	0	3	3	9.87963888509144
4	10780	87.6116827579629	171.299748951781	1	0	3	4	3.75288228877611
5	38093	7.03524160155382	26.4742910858094	1	0	3	5	2.0495521429721
1	3487	1.3338051255675	2.68777185408942	1	0	4	1	5.29154599787694
2	16830	0.105320167087638	0.223756407891906	1	0	4	2	2.12616920642011
3	8404	0.792604082675299	1.52325608065401	1	0	4	3	7.22765128302879
1	1298	2.39431296515856	2.98166279856672	1	0	5	1	2
2	14102	0.185817379763075	0.520938926804483	1	0	5	2	2
3	3619	4.04476596167416	5.29657975035031	1	0	5	3	4.49836973840244
4	18315	0.0853635837074007	0.330435546069852	1	0	5	4	2
