STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	19569	1.10468401272519	3.29173742025555	1	0	1	1	2.75348600691891
2	19030	8.99517009402378	20.2598593540544	1	0	1	2	16.4802680200529
3	6688	29.2219951348076	35.9720135197004	1	0	1	3	10.2837158561704
4	4323	55.7334219483871	89.4149560648116	1	0	1	4	16.5228309316109
5	1100	248.15390444571	215.383484961453	1	0	1	5	10.1273108570585
1	8228	16.1179468663215	28.7926586802853	1	0	2	1	4.04358561547492
2	8756	54.0482976133694	78.4119281244281	1	0	2	2	11.7186741113515
3	14509	62.8622576002972	166.77464143489	1	0	2	3	41.3007641642845
4	24156	276.649384914112	288.374495728609	1	0	2	4	118.897427983622
1	4818	26.4843554202379	125.499357035499	1	0	3	1	6.67765873792872
2	19360	21.6096265846899	51.697915297154	1	0	3	2	11.0533598185737
3	15521	103.631759796503	149.823316545428	1	0	3	3	25.6811832393926
4	29293	230.585851240589	247.334009744338	1	0	3	4	80.0135637510508
5	9746	626.411775857767	572.821996104054	1	0	3	5	61.6541078140367
1	9735	274.069691123395	445.889553260877	1	0	4	1	27.5921546890193
2	6050	993.84611410724	1037.84819443229	1	0	4	2	39.9127426313806
3	12936	456.91101410702	690.903471364788	1	0	4	3	56.8119563296525
1	14608	125.100731791371	204.721675480798	1	0	5	1	20.4844431637886
2	1749	1445.67306296552	1249.37311162534	1	0	5	2	14.9675783414285
3	4521	86.190973598916	94.5899533450924	1	0	5	3	2.92920046039415
4	16456	383.851687872448	532.311442382908	1	0	5	4	60.0011612670779
