STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	5940	16.8257235717348	19.5396020457176	1	0	1	1	6.89157830994264
2	4367	30.9600165147289	36.6876945208529	1	0	1	2	9.51305810235727
3	12144	16.5498600839886	19.6422831521727	1	0	1	3	14.1634894025246
4	20240	36.7593701231512	39.5457273182662	1	0	1	4	47.525490922471
5	8019	20.6759130183139	28.5564924734803	1	0	1	5	13.5969535083091
1	979	24.8823582718424	30.6388153464199	1	0	2	1	5.09041552984092
2	4488	11.471783684412	15.5621026988915	1	0	2	2	11.8527656961125
3	40975	5.8055310832383	7.07441545770597	1	0	2	3	49.1935424378981
4	9207	13.2148248777014	11.6704551187186	1	0	2	4	18.2349471971984
1	14663	14.0122851452268	20.7363465535997	1	0	3	1	14.8492509238169
2	24563	30.7941442058015	49.3963730891174	1	0	3	2	59.2551278559398
3	9317	14.6878392414349	24.0256625300306	1	0	3	3	10.9320330805817
4	30195	3.08629225593553	5.46153895437813	1	0	3	4	8.05377585712207
1	8327	0.387652080529042	0.485796152527198	1	0	4	1	5.20865396433701
2	2860	0.956942520440229	1.24346858107777	1	0	4	2	4.57913787507602
3	4576	1.88559136764475	2.34947640417081	1	0	4	3	13.843310948277
4	12958	0.821358052350815	0.848353931596281	1	0	4	4	14.1546104970752
1	1276	1.92749496094877	2.56498779369021	1	0	5	1	4.16949515553614
2	13057	0.441188498040013	0.507258673812755	1	0	5	2	8.43762816160325
3	10087	1.77577880281077	1.59680879888638	1	0	5	3	20.5192949567515
4	12914	0.557390604862716	0.525778888697309	1	0	5	4	8.64990669181246
