STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	15807	1438.99595950645	1243.98716283146	1	0	1	1	13.8922603108521
2	5852	2087.32038030494	2841.1020718023	1	0	1	2	11.7462357963586
3	7469	938.05862177688	1124.61098478214	1	0	1	3	5.93433885328587
4	6633	612.788011151006	1024.33069239657	1	0	1	4	4.80018243661512
5	14949	1675.63286838625	3115.30820866344	1	0	1	5	32.9018805825494
1	7931	953.002576090625	1160.23150134509	1	0	2	1	7.72856594061241
2	17259	1521.7317242907	2548.87136733258	1	0	2	2	36.947908673602
3	30459	397.022538134044	601.234873408529	1	0	2	3	15.3810547463494
1	35398	1076.75268516629	1321.36742816081	1	0	3	1	34.4593333699649
2	5588	2133.11617651595	4933.03560423056	1	0	3	2	20.3083760626521
3	21098	744.366454210325	1439.26627372508	1	0	3	3	22.3710818179392
4	16654	199.276295134322	377.985833410976	1	0	3	4	4.63765708292973
1	2420	172.361328333176	131.452728537536	1	0	4	1	4.2279960651382
2	5599	115.11622428267	94.8151207514016	1	0	4	2	7.05566046486987
3	1243	265.423494834075	219.066163322392	1	0	4	3	3.61906209080086
4	5621	120.163326704039	104.318849316771	1	0	4	4	7.7933822243549
5	13838	63.5934299368927	67.5588407336613	1	0	4	5	12.4252495065055
1	1551	229.96178915313	254.633485746636	1	0	5	1	2.20930861450661
2	14960	128.061906686757	108.242148788571	1	0	5	2	9.05851632963645
3	13310	383.269843716483	317.654983982062	1	0	5	3	23.651723983673
4	7513	157.1054706295	166.415517360256	1	0	5	4	6.99417156481721
