STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	968	1284.80717968017	662.928352756749	1	0	1	1	2
2	2244	750.411264558547	300.81951746136	1	0	1	2	2
3	23342	1763.1020304694	1020.0062378015	1	0	1	3	45.6520365963658
4	6182	1485.21900404055	778.983122618815	1	0	1	4	9.23371175969426
5	16709	765.667934996696	679.884825026292	1	0	1	5	21.7823670125696
1	18997	1945.22157072908	1246.29509974523	1	0	2	1	33.4854398016085
2	4807	1380.35214558733	879.3409910367	1	0	2	2	5.97835276485458
3	9372	855.164545335103	584.069491976569	1	0	2	3	7.74188826801701
4	21538	390.368351842966	407.006321753999	1	0	2	4	12.3981425298651
1	8052	1821.03125844978	1401.29388113336	1	0	3	1	7.70626019286821
2	17281	3450.03696028475	3501.057621846	1	0	3	2	41.3217594656205
3	14300	1571.66322044741	1449.08821206686	1	0	3	3	14.15277289004
4	18095	832.166562339884	765.859676555626	1	0	3	4	9.4649531357173
5	19492	387.498728279577	473.663024872853	1	0	3	5	6.30574731082476
1	3509	686.653196233054	517.440132870521	1	0	4	1	8.07397124782171
2	6985	384.632065845154	255.336803933369	1	0	4	2	7.93091963228612
3	3256	644.128455940157	687.647973432714	1	0	4	3	9.95621540703885
4	10802	373.87739062113	368.667546587417	1	0	4	4	17.7085418561709
5	3685	627.764531868191	466.046805292055	1	0	4	5	7.63678823599629
1	5368	992.576093988463	710.607522092964	1	0	5	1	7.31566155004167
2	8393	1344.77002591361	1323.51304819982	1	0	5	2	21.3037838967209
3	9746	655.299781022018	498.941630500074	1	0	5	3	9.32582897291934
4	13486	293.685184200577	296.447324034832	1	0	5	4	7.66729172142366
