STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	19613	36.7639871054611	278.761055416054	1	0	1	1	3.52816449907734
2	17215	462.136144319579	2327.8589072827	1	0	1	2	25.8604678904846
3	6798	1134.09843767357	4624.281747528	1	0	1	3	20.2860804909522
4	7084	4478.97364585592	11471.4702224227	1	0	1	4	52.4409235902875
1	17479	499.475208904617	2488.52081140971	1	0	2	1	5.92303511557147
2	13046	3010.27523468422	9826.88867210851	1	0	2	2	17.4574118653843
3	5049	16937.5883853084	69096.7662875803	1	0	2	3	47.506117834746
4	20075	1223.98052651237	13276.7468922482	1	0	2	4	36.293903308353
1	25696	344.907721342595	2260.63301781533	1	0	3	1	21.0201079049192
2	17028	3121.53117270342	9339.04010857739	1	0	3	2	57.5446871328488
3	7678	10516.9221262692	25618.333089842	1	0	3	3	71.1767783713832
4	28336	2830.12255018597	6600.0444062786	1	0	3	4	67.6744527444233
1	16170	166.864164136691	633.113996406074	1	0	4	1	2
2	6787	5000.78183180495	20146.0373744047	1	0	4	2	9.6123398037791
3	2805	26688.339279251	136740.595243912	1	0	4	3	26.9644745823026
4	2959	5106.57776666832	17625.5994520122	1	0	4	4	3.66648989263993
1	7777	190.325949585733	533.191097268446	1	0	5	1	2
2	9218	1340.98850516111	2770.399002086	1	0	5	2	11.9436375208874
3	3982	3478.55841273357	5113.19782296669	1	0	5	3	9.52251004791878
4	2541	9478.28420195509	21455.2179710993	1	0	5	4	25.4973581680424
5	13816	3464.39356041256	7829.33251907166	1	0	5	5	50.5899967451677
