STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	4213	2.11389904835147	1.76054395889475	1	0	1	1	2
2	9955	6.68232568962107	4.76807819036055	1	0	1	2	11.82802761181
3	11627	2.4467770886405	2.07339470602511	1	0	1	3	6.00727280054245
4	3344	3.03770861624762	4.7679202802915	1	0	1	4	3.97304012185972
5	20306	1.91099605076165	1.64933433110684	1	0	1	5	8.34566172536384
1	16181	2.82569261255084	2.88741094610477	1	0	2	1	2.04465858887756
2	15653	3.12431135452013	4.94097321873119	1	0	2	2	3.38467465930459
3	9086	6.00997507560926	11.8054532040954	1	0	2	3	4.69420704894769
4	7348	11.264028359785	21.4991047656404	1	0	2	4	6.91347454938688
5	6446	16.1939158573725	40.4570245876676	1	0	2	5	11.4127705324061
1	3542	913.373307217309	1546.51421844247	1	0	3	1	7.91883499694488
2	6721	202.239923043248	328.330100412488	1	0	3	2	3.19009351768037
3	6677	382.464836497608	1027.43468975839	1	0	3	3	9.9173221491725
4	60280	93.0194131755921	214.377104219188	1	0	3	4	18.6814449108624
1	8932	445.81514803042	852.054257917871	1	0	4	1	4.2237706385983
2	2112	1980.30300790379	3732.94655805205	1	0	4	2	4.37552377281352
3	17193	119.857562675506	376.129759289049	1	0	4	3	3.58900216773339
1	9339	367.732826747908	643.600776446944	1	0	5	1	2.45175943017149
2	4048	1569.19116594336	3727.90760352761	1	0	5	2	6.15554574687221
3	23606	69.760790619827	146.892529362138	1	0	5	3	2
