STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	1221	234.537714717357	753.310208802759	1	0	1	1	2
2	10879	89.3643931068964	153.944040458064	1	0	1	2	2.87063295088692
3	6446	188.730646248306	641.273747913946	1	0	1	3	7.08532164858183
4	12848	743.077699980542	4254.9541500617	1	0	1	4	93.703587938181
5	19316	110.12469612508	702.060635711449	1	0	1	5	23.2443618518276
1	19536	34.2434357906826	105.960106734659	1	0	2	1	18.4131593021442
2	2783	182.668901329495	1200.99142908232	1	0	2	2	29.7305806468848
3	2442	55.1032459598777	223.989367946049	1	0	2	3	4.8654536611494
4	30888	14.4357452431075	33.5501533242529	1	0	2	4	9.21795480860407
1	17281	6.93462826853936	23.3587045096006	1	0	3	1	36.5545501156144
2	13673	18.4882164468529	100.801134362184	1	0	3	2	124.811054813851
3	18458	12.649879805869	30.8790395267552	1	0	3	3	51.614561891063
4	29326	8.34350375186142	15.8381027370704	1	0	3	4	42.0610205793719
1	5962	6.88760070109754	12.5257962330683	1	0	4	1	45.6065010145587
2	5797	4.52507818361131	6.71355874702171	1	0	4	2	23.7676111593918
3	12958	2.067120314684	3.17821239137863	1	0	4	3	25.1507147705579
4	4004	1.36629215629812	1.62308386724157	1	0	4	4	3.9688480291842
1	10274	0.922453294396833	0.984277363986634	1	0	5	1	50.3452146507612
2	8844	0.454586648484081	0.449758648944394	1	0	5	2	19.8029274109096
3	8492	1.15684695670905	1.23339729058626	1	0	5	3	52.1451731074002
4	9724	0.262764798119499	0.305661431636434	1	0	5	4	14.7974448841704
