STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	18766	69.5392687493713	354.504766031918	1	0	1	1	6.65519284760903
2	15070	649.95729131677	2243.92455444567	1	0	1	2	33.828937486104
3	7909	1369.73250518581	4578.60341878936	1	0	1	3	36.2260896895245
4	4653	4314.44398590321	10373.7585712337	1	0	1	4	48.2876469958761
5	4312	470.880655122418	1690.4603693464	1	0	1	5	7.29206615814151
1	16335	575.618172025418	2287.40917528521	1	0	2	1	9.81348789548606
2	12210	3357.30839784998	11900.6990994709	1	0	2	2	38.1635294074942
3	4235	12581.4337768739	49781.0041354887	1	0	2	3	55.37037447508
4	22869	1396.69252963877	11661.6185391244	1	0	2	4	70.0432677531535
1	14564	26.489661308678	206.79538679145	1	0	3	1	2
2	9218	549.259158883433	1863.48123572594	1	0	3	2	6.92908925587379
3	17765	2793.55375061696	7770.61856416126	1	0	3	3	55.6846162408016
4	8646	11579.1949558529	24578.7686805883	1	0	3	4	85.7215038337402
5	28545	2537.88415037065	5608.63741511399	1	0	3	5	64.5805649712402
1	23529	993.190622363106	4852.76681714554	1	0	4	1	16.0567560326122
2	2497	18431.7486823797	89561.5080369486	1	0	4	2	31.4488562690638
3	2695	3786.42447324747	15156.4125920602	1	0	4	3	5.74407503487289
1	7678	261.845425470037	669.586751367295	1	0	5	1	4.0849638218638
2	13002	1944.32062504533	3537.29451410884	1	0	5	2	36.543878396217
3	2398	8692.50981296204	15322.4473692687	1	0	5	3	29.1951406508938
4	10857	2359.60187700861	5092.4974613028	1	0	5	4	43.9312857230725
5	3399	192.0090399432	679.819674398356	1	0	5	5	2
