STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	20768	3.21170830347738	44.8098688594835	1	0	1	1	7.21056264269576
2	1012	164.822358995782	643.903626186009	1	0	1	2	5.04896301660183
3	21373	1.83134573117625	16.2728895926718	1	0	1	3	2.69482749522504
4	7557	274.470321668415	567.064661284623	1	0	1	4	33.2034194563343
1	8283	23.0102590154347	190.925645736173	1	0	2	1	13.9054622850197
2	869	1202.78260597628	1659.86940336891	1	0	2	2	12.6831520237025
3	30437	41.2625349895067	151.120729945422	1	0	2	3	40.4444923824484
4	16060	63.0414344551375	288.242336725487	1	0	2	4	40.7039740569359
1	21285	1.58313153219902	15.1579531970871	1	0	3	1	2
2	8371	21.6469767141422	258.382882467389	1	0	3	2	10.6169751602041
3	37158	19.8802320270905	144.376984447259	1	0	3	3	26.3335868452489
4	4191	145.007421565694	391.48608525496	1	0	3	4	8.05366779959384
5	7733	774.425532582373	1161.08141144644	1	0	3	5	44.0727756678507
1	5852	119.520022076194	506.223355206533	1	0	4	1	8.33496689448173
2	1837	1045.52381474412	3197.22660294721	1	0	4	2	16.5249425383425
3	4070	107.95313438349	345.627235741005	1	0	4	3	3.95785382998129
4	16962	530.695507930145	1049.59239485483	1	0	4	4	50.0904712890686
1	13079	12.3826992498393	49.7012369012538	1	0	5	1	3.22283811707099
2	7029	135.422865005516	391.176015686825	1	0	5	2	13.6320922658941
3	9581	25.3306363001731	91.7516389390655	1	0	5	3	4.3583431952644
4	7645	557.394583718917	1010.34208236488	1	0	5	4	38.2950540509531
