STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	4697	0.28365923747323	0.151605478812176	1	0	1	1	10.9435834134139
2	25949	0.162240450156903	0.0865058334560056	1	0	1	2	34.4976980638325
3	4873	0.267888525755491	0.156271361068893	1	0	1	3	11.7030726772698
4	10857	0.422906921775807	0.309175766143676	1	0	1	4	51.5868939102827
5	4334	0.68311521554011	0.650183154064983	1	0	1	5	43.3060642487084
1	2541	1.16926196320475	1.36789570941098	1	0	2	1	2
2	4422	15.5339370574331	40.3710939888226	1	0	2	2	48.0468559694838
3	4312	3.83879997185589	7.24260255900252	1	0	2	3	8.40522074205096
4	44374	1.7792033979643	1.94607965543982	1	0	2	4	23.2415404213215
1	36861	1.24597211942684	2.0346101663618	1	0	3	1	19.2841952988265
2	34034	9.2746629665181	12.6921512896181	1	0	3	2	111.071191991751
3	2244	29.8963554309677	72.2193881522362	1	0	3	3	41.67060973584
4	5599	8.41454091350507	12.0403358940951	1	0	3	4	17.3341387361547
1	18084	7.83303068502804	8.8666315219594	1	0	4	1	4.82540534819645
2	1056	39.4368229139061	62.5709278243532	1	0	4	2	2
3	4928	130.929068904107	287.566756347475	1	0	4	3	42.6471506471035
4	4653	111.153238783282	150.548466059725	1	0	4	4	21.0809427935242
1	13101	84.0011780723145	138.462281143617	1	0	5	1	5.60354545650055
2	13310	326.813847536389	498.732601685098	1	0	5	2	20.5056143095202
3	5214	1287.85027962387	1699.68936471613	1	0	5	3	27.3758463201784
4	4169	1389.56377063114	3495.50346019636	1	0	5	4	45.016176186767
5	1540	353.22013375075	584.771594744497	1	0	5	5	2.78185160881708
