STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	2684	1.9150066184881	1.8342348779104	1	0	1	1	5.9167132133714
2	10615	5.63319520383557	4.08438360364761	1	0	1	2	52.1062217145229
3	9152	2.33513896329502	1.78388791186007	1	0	1	3	19.6212483402795
4	4906	2.75281640364598	3.74755616507759	1	0	1	4	22.0962591493741
5	23353	1.48082124926335	1.43719905536149	1	0	1	5	40.3369134160971
1	6809	12.6877482729366	19.1019784675176	1	0	2	1	5.55601949435614
2	40293	2.14757106350333	3.54104378163609	1	0	2	2	6.09484935558507
3	7678	14.2687366869037	35.1229616312073	1	0	2	3	11.519703803202
4	869	81.5638397880311	283.978259954723	1	0	2	4	10.5416100200393
1	4147	527.859132589758	655.346105265356	1	0	3	1	35.6938715941445
2	11946	246.082557936117	364.300422558784	1	0	3	2	57.1572182547707
3	25300	106.222054222644	163.384276994774	1	0	3	3	54.2899798737211
4	30976	51.5895100888923	90.6121568787262	1	0	3	4	36.8638510566368
5	6369	165.182715176218	322.334359904676	1	0	3	5	26.9629092657899
1	1606	396.856297107813	517.086275321656	1	0	4	1	3.86692631393732
2	2464	1184.53544252221	1590.66783640055	1	0	4	2	18.2506168598371
3	11363	263.507930430368	348.361275994888	1	0	4	3	18.4323294473932
4	13288	64.3033883944141	134.282296154645	1	0	4	4	8.30875059870752
1	2860	723.624632914207	828.188915772768	1	0	5	1	6.23805620954254
2	561	3553.99654409116	5050.99128765134	1	0	5	2	7.46265419211285
3	10681	414.456020566233	776.832408875916	1	0	5	3	21.8520953911338
4	23232	53.0336964766674	85.3373957085248	1	0	5	4	5.22131411256682
