STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	5027	737.519202164683	507.779680287632	1	0	1	1	2
2	21208	2204.41431073741	2186.62402091113	1	0	1	2	16.5477671293305
3	14454	5606.96114617625	5335.56013579879	1	0	1	3	27.5190628857
4	4422	5467.37397642184	14933.0852891095	1	0	1	4	23.5631775105345
5	5599	3728.44577216599	5070.33890249347	1	0	1	5	10.1300835501615
1	15598	3501.5372449318	4421.09640932271	1	0	2	1	23.2570607077386
2	14663	6494.54159622809	5237.67413397745	1	0	2	2	25.90104190445
3	14751	7087.96461547532	11878.1850028799	1	0	2	3	59.091834542941
4	10637	2650.25073576625	3929.49107565131	1	0	2	4	14.0965030941097
1	25355	3544.74587539389	6138.58596994757	1	0	3	1	40.4003105195159
2	19503	11902.2591402561	13541.6271466165	1	0	3	2	68.5527716484366
3	12056	7272.44961002677	9132.06027173806	1	0	3	3	28.5775342743356
4	15290	4396.90681087095	4392.92691676043	1	0	3	4	17.4346891822243
5	6534	1242.3750870437	1852.81415949606	1	0	3	5	3.14241643109062
1	5203	2147.61519397484	1984.5053706262	1	0	4	1	13.0551027526861
2	7601	3802.50732107318	2244.5924528445	1	0	4	2	21.5716030871186
3	8844	1856.37577872913	1419.35991704584	1	0	4	3	15.871408157474
4	7073	2624.28721345227	2233.90398013246	1	0	4	4	19.9775556855868
1	6567	1830.60782774766	1693.51744112338	1	0	5	1	7.54346535921791
2	7832	3713.54802860793	3150.99662275056	1	0	5	2	16.7392049525027
3	1408	7107.78487744251	8148.62707359969	1	0	5	3	7.78218064461777
4	12771	3760.41440797541	4288.65461601872	1	0	5	4	37.150117120796
5	8756	1948.86453761412	2899.89265294088	1	0	5	5	17.222725704266
