STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	748	502.940455251702	412.78451393662	1	0	1	1	4.30617909975539
2	11154	229.233737783004	160.091235947467	1	0	1	2	24.9037812341141
3	14025	138.166898115735	113.588917535868	1	0	1	3	22.2180492851674
4	13970	87.9043641120195	77.1786601267785	1	0	1	4	15.0369839359251
5	9548	27.0757049116496	49.3724632636122	1	0	1	5	6.57452378179502
1	2101	434.406480793552	381.508486741832	1	0	2	1	3.81722511076026
2	5918	735.735630517912	466.088942592151	1	0	2	2	13.1359436586442
3	4290	286.90888851022	286.465877190573	1	0	2	3	5.85258468111122
4	42405	36.5345832264681	95.5187745051005	1	0	2	4	19.2896046079523
1	7832	496.508480264053	430.887997849461	1	0	3	1	23.533833743407
2	12067	197.580632308204	245.859793048978	1	0	3	2	20.6891395732663
3	15477	79.240662624017	101.957886843817	1	0	3	3	11.0043200617556
4	2541	166.726045104066	266.349024611934	1	0	3	4	4.71966725055576
5	39303	20.1594057999296	54.2634081390225	1	0	3	5	14.8726505399972
1	3388	712.493154186005	666.864988500006	1	0	4	1	10.4001958739258
2	8481	200.426872181863	259.711107011188	1	0	4	2	10.1390621888851
3	6314	74.9775185626447	154.078277025034	1	0	4	3	4.47822789764222
4	10054	18.1224395256716	48.4117456804567	1	0	4	4	2.24052515532257
1	1177	386.249787112971	598.625931846872	1	0	5	1	7.79224396610341
2	11352	72.016699554079	94.7133183220051	1	0	5	2	11.8908797560642
3	17028	41.7707227292731	62.3975050894471	1	0	5	3	11.7506372373289
4	7436	9.43549929023296	16.9553439107457	1	0	5	4	2
