STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	5126	80.7303363045798	173.426487867711	1	0	1	1	13.6014509172564
2	7876	24.6116522439303	64.4333597256349	1	0	1	2	7.76439627128379
3	7337	188.901322340749	558.576705400077	1	0	1	3	62.7036102841722
4	16863	56.3918826127838	219.041129966666	1	0	1	4	56.5134367572098
5	12243	37.6751020927782	104.466863588126	1	0	1	5	19.5685034533186
1	19910	85.8192864003323	455.152332404685	1	0	2	1	24.0871526235895
2	1804	1383.85714341362	5063.38653164091	1	0	2	2	24.2792377074321
3	4235	281.702173259068	1222.302899233	1	0	2	3	13.7590892700075
4	19019	34.7844460816119	130.539851787764	1	0	2	4	6.59915342613384
5	9746	181.553560547645	1137.82249462689	1	0	2	5	29.4753081659627
1	990	607.855712326461	2214.02769891478	1	0	3	1	6.24600708267681
2	38401	33.6992239965006	100.433711535102	1	0	3	2	10.9902171682997
3	6864	239.292900462608	681.671321577494	1	0	3	3	13.3332654657771
4	14927	576.130719347937	2212.79726606948	1	0	3	4	94.1235690857129
5	16038	68.9840356011616	275.788264793919	1	0	3	5	12.6040529611493
1	8800	11.596980386267	17.9754913651052	1	0	4	1	2.08193357192705
2	11220	61.0849458370642	111.606107967747	1	0	4	2	16.4810260437065
3	2486	55.8987049094649	239.412181057941	1	0	4	3	7.83340882421807
4	5731	262.991636585403	496.542817530963	1	0	4	4	37.4533387093964
1	1408	83.480269097718	148.128410088919	1	0	5	1	4.30454359199306
2	2552	272.065486756022	464.493094509682	1	0	5	2	24.4650453939281
3	7535	36.2176169227851	59.8679996564616	1	0	5	3	9.31030906732471
4	2244	89.5711188955929	129.525580156994	1	0	5	4	5.99880151961035
5	23254	27.8390940144251	51.0388984296778	1	0	5	5	24.4954292675807
