STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	12430	45.992562364116	65.8715348876231	1	0	1	1	2
2	9075	788.751008015757	941.987966749073	1	0	1	2	13.4390745271131
3	10186	3066.63598322274	4318.10791002123	1	0	1	3	69.1471901119352
4	11803	1538.78955236959	3065.67799761782	1	0	1	4	56.8848107668656
5	5951	817.697491487041	1350.49103174054	1	0	1	5	12.6345281797254
1	8206	1032.59462718055	1510.62996130392	1	0	2	1	31.4116816643247
2	1925	2722.40586710076	6691.37730235778	1	0	2	2	32.6398258947674
3	42405	561.142817147198	969.172289286736	1	0	2	3	104.140494749165
4	2178	985.611562549733	2836.62924912208	1	0	2	4	15.655323018927
1	6391	1388.56009141395	3871.34725457862	1	0	3	1	24.6876483140874
2	5742	3493.98826560867	10274.6024225332	1	0	3	2	58.8676893977537
3	13992	1726.61675377406	3264.90116551241	1	0	3	3	45.5825493901431
4	51095	332.806836313141	572.556048869968	1	0	3	4	29.1907454983461
1	4873	362.106178986189	473.490412883749	1	0	4	1	17.0464575881939
2	5841	858.796376437729	881.972320315828	1	0	4	2	38.0599928811147
3	3718	312.883488009072	378.995766428001	1	0	4	3	10.4104687565311
4	13805	73.7130626617987	173.446997979749	1	0	4	4	17.6900776573618
1	5434	212.860502893129	463.868877128098	1	0	5	1	28.2777798110276
2	2497	484.419302744777	996.274485290309	1	0	5	2	27.9079534533631
3	22968	60.8101915760057	217.728969663981	1	0	5	3	56.1009010197868
4	6094	1.88271669286583	12.9378694750097	1	0	5	4	2
