STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	3322	24.4458668683194	25.8068346894292	1	0	1	1	5.58060107770167
2	15961	14.0825952503892	15.0877029187592	1	0	1	2	15.6758042752027
3	3410	25.5101449944738	24.4940133722326	1	0	1	3	5.4370201212907
4	19536	38.0271562207535	39.8630852204647	1	0	1	4	50.6936036913109
5	8481	24.2392236840724	30.8172164090013	1	0	1	5	17.0132420956768
1	1727	21.3114826638326	26.1529033562686	1	0	2	1	8.6197174507934
2	18480	9.67368805766617	10.8597874357627	1	0	2	2	38.3004675115521
3	25773	5.84115404686321	6.84225562555307	1	0	2	3	33.6546480122019
4	9669	10.1785373271781	13.6745663959555	1	0	2	4	25.2334078986214
1	12551	15.6915872341493	22.6389850566945	1	0	3	1	18.7308999372123
2	24101	29.1611562832395	38.9562089671173	1	0	3	2	61.8920846620396
3	10076	17.540525271802	20.6349447471395	1	0	3	3	13.7061294914267
4	6688	8.32033988623773	10.0032833788297	1	0	3	4	4.41023973481429
5	25322	3.37783177985932	3.52644388203334	1	0	3	5	5.88651619219841
1	8074	2.4112861468431	2.18625162668144	1	0	4	1	17.881140196483
2	8250	2.87260632550286	2.73112614783685	1	0	4	2	22.8245396158925
3	12397	1.92243745559316	1.94321141193203	1	0	4	3	24.402986016937
1	1859	2.97295503664978	3.24787358884566	1	0	5	1	7.80163750484263
2	6809	1.57623545435005	1.51158436565296	1	0	5	2	13.2991224735208
3	7810	1.18888473174763	1.13976308470502	1	0	5	3	11.5019872158038
4	6226	2.20322880980841	2.09747526057524	1	0	5	4	16.8738126732226
5	14630	1.07680818188072	1.04053499692328	1	0	5	5	19.6701774482512
