STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	2684	944.154961312263	949.977867041767	1	0	1	1	10.6098177130603
2	12276	274.676702507285	453.159750612211	1	0	1	2	23.1483549296973
3	5577	1104.41034638831	1864.69014164857	1	0	1	3	43.2732230331807
4	2640	3396.39056700507	4469.69102521382	1	0	1	4	49.1013410337334
5	27533	557.535888544464	1052.11469148451	1	0	1	5	120.539266286657
1	748	590.642113651829	559.379977678879	1	0	2	1	4.01220781953984
2	3256	233.420177074871	273.593497542501	1	0	2	2	8.54210828345704
3	31944	21.2682616969197	69.2185590259225	1	0	2	3	21.2024845816835
4	15081	277.292360956931	532.438526537206	1	0	2	4	76.9971264858726
5	4620	510.094561808474	1576.33386470788	1	0	2	5	69.8337053425793
1	14674	449.452611135039	935.858143841254	1	0	3	1	153.854499742944
2	10065	216.799120051959	488.708704671439	1	0	3	2	55.1081101223389
3	15686	51.5830899300486	198.880189617669	1	0	3	3	34.9506614937311
4	5038	29.9267483048891	45.4124248501081	1	0	3	4	2.56321195002446
5	33275	1.36992188662325	6.11322015051564	1	0	3	5	2.27897606446839
1	6457	0.793098821353279	0.831900727171614	1	0	4	1	34.4043409324235
2	1738	2.36260847483147	1.74802280667422	1	0	4	2	19.4584310186969
3	20526	0.0947767247005431	0.319743359104433	1	0	4	3	42.0355573510543
1	1331	2.13023907482804	1.83048346102984	1	0	5	1	7.67625223947118
2	1034	0.991685485396807	1.21792211332588	1	0	5	2	3.96776029326965
3	1870	4.08577879031595	4.57843654170635	1	0	5	3	26.9751692362957
4	15730	0.343091875845041	0.907755624649788	1	0	5	4	44.9886585277384
5	17369	0.0942078550399239	0.276442293358472	1	0	5	5	15.1281100359856
