STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	13299	187.831945193719	409.825559185037	1	0	1	1	5.84130808128956
2	3784	613.762968625228	2097.60231739254	1	0	1	2	8.50680285321599
3	2893	1685.98378045748	8645.28513115044	1	0	1	3	26.8052487135021
4	6193	197.248812953163	1225.14849958174	1	0	1	4	8.13171031127673
5	23276	597.943133359327	2521.50866119419	1	0	1	5	62.9014850629251
1	2398	2078.32273047089	5309.56084617262	1	0	2	1	13.2653448431265
2	16203	532.240951166304	1433.9618201264	1	0	2	2	24.2071568201741
3	4334	1794.10483766046	7043.48117220382	1	0	2	3	31.8043869350121
4	31779	116.006484779561	732.548212893016	1	0	2	4	24.2542139185037
1	7018	61.3912463706904	302.523243560892	1	0	3	1	8.27811701642806
2	12474	275.928825002237	1675.68798162114	1	0	3	2	81.500137918071
3	20031	29.0150023918378	91.9882541105423	1	0	3	3	7.18446537945563
4	37697	127.815424926733	479.520265819279	1	0	3	4	70.4811862684943
1	539	10.3080288230588	18.4621217311153	1	0	4	1	2.02963924836521
2	9339	6.16774385934007	8.60144105820514	1	0	4	2	16.384004938388
3	7678	11.9751550554366	18.4567559985394	1	0	4	3	28.9036011561733
4	2882	14.9062680980855	36.1301874246325	1	0	4	4	21.2379536218635
5	7799	5.62541378396631	10.7302832521351	1	0	4	5	17.0686268420129
1	6226	4.61202858861906	3.24912285861407	1	0	5	1	21.3405174889087
2	4312	2.53457697702786	2.34498475648357	1	0	5	2	10.6671517330158
3	8976	0.986254768757295	0.975048991722963	1	0	5	3	9.23291798992064
4	17479	0.409807022950908	0.534406462391364	1	0	5	4	9.85412303006854
